Province,Wetland,Site,Soil depth,"SOC content 
(g kg-1)",SOC density (Mg ha-1),Reference,,,,,,,,,,,,
Liaoning ,Liao River Delta,1 ,0—10,21.58 ,24.30 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,1 ,10—20,11.26 ,14.40 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,1 ,20—30,11.07 ,12.60 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,1 ,30—40,9.96 ,13.30 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,1 ,40—60,10.01 ,26.42 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,1 ,60—80,12.62 ,31.04 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,1 ,80—100,11.84 ,29.71 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,2 ,0—10,6.32 ,8.15 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,2 ,10—20,10.05 ,13.22 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,2 ,20—30,11.50 ,15.72 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,2 ,30—40,9.91 ,12.58 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,2 ,40—60,12.67 ,31.12 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,2 ,60—80,10.28 ,26.93 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,2 ,80—100,11.00 ,28.23 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,3 ,0—10,10.64 ,15.04 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,3 ,10—20,9.19 ,12.55 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,3 ,20—30,9.94 ,12.60 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,3 ,30—40,6.88 ,8.92 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,3 ,40—60,9.45 ,25.37 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,3 ,60—80,9.36 ,25.19 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,3 ,80—100,9.54 ,25.54 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,4 ,0—10,10.47 ,11.87 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,4 ,10—20,12.74 ,15.25 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,4 ,20—30,8.99 ,12.53 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,4 ,30—40,7.36 ,11.69 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,4 ,40—60,5.80 ,17.77 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,4 ,60—80,4.75 ,15.29 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,4 ,80—100,5.78 ,17.72 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,5 ,0—10,6.19 ,8.81 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,5 ,10—20,5.07 ,8.81 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,5 ,20—30,6.03 ,10.31 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,5 ,30—40,5.26 ,8.43 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,5 ,40—60,4.46 ,14.58 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,5 ,60—80,4.76 ,15.32 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,5 ,80—100,5.82 ,17.83 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,6 ,0—10,6.98 ,10.20 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,6 ,10—20,12.75 ,15.63 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,6 ,20—30,8.74 ,15.33 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,6 ,30—40,9.52 ,12.75 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,6 ,40—60,8.68 ,23.87 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,6 ,60—80,10.39 ,27.13 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,6 ,80—100,8.80 ,24.12 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,7 ,0—10,36.72 ,29.90 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,7 ,10—20,16.81 ,18.80 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,7 ,20—30,14.25 ,16.85 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,7 ,30—40,9.98 ,13.19 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,7 ,40—60,9.61 ,25.67 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,7 ,60—80,9.31 ,25.11 ,This study,,,,,,,,,,,,
Liaoning ,Liao River Delta,7 ,80—100,7.48 ,21.44 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,1 ,0—10,12.58 ,18.08 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,1 ,10—20,7.33 ,11.31 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,1 ,20—30,7.18 ,10.85 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,1 ,30—40,7.99 ,10.61 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,1 ,40—60,7.59 ,23.47 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,1 ,60—80,4.49 ,14.93 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,1 ,80—100,4.01 ,13.48 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,2 ,0—10,9.82 ,16.45 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,2 ,10—20,6.84 ,9.80 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,2 ,20—30,9.51 ,13.35 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,2 ,30—40,9.74 ,14.27 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,2 ,40—60,6.86 ,21.57 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,2 ,60—80,4.73 ,15.64 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,2 ,80—100,3.63 ,12.30 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,3 ,0—10,9.29 ,13.07 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,3 ,10—20,10.41 ,15.77 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,3 ,20—30,9.47 ,15.20 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,3 ,30—40,9.36 ,13.67 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,3 ,40—60,9.23 ,27.39 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,3 ,60—80,11.80 ,32.74 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,3 ,80—100,12.51 ,34.03 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,4 ,0—10,7.72 ,11.80 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,4 ,10—20,6.07 ,10.51 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,4 ,20—30,6.11 ,10.58 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,4 ,30—40,3.78 ,6.35 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,4 ,40—60,3.73 ,12.60 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,4 ,60—80,6.09 ,19.50 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,4 ,80—100,4.82 ,15.90 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,5 ,0—10,11.45 ,15.32 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,5 ,10—20,8.06 ,12.25 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,5 ,20—30,5.96 ,8.90 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,5 ,30—40,5.44 ,8.79 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,5 ,40—60,5.68 ,18.38 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,5 ,60—80,5.97 ,19.17 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,5 ,80—100,5.18 ,16.95 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,6 ,0—10,4.24 ,6.61 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,6 ,10—20,3.72 ,6.49 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,6 ,20—30,3.81 ,6.75 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,6 ,30—40,3.79 ,6.41 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,6 ,40—60,3.77 ,12.75 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,6 ,60—80,6.15 ,19.67 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,6 ,80—100,4.86 ,16.03 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,7 ,0—10,5.00 ,7.87 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,7 ,10—20,4.57 ,8.32 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,7 ,20—30,4.07 ,7.28 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,7 ,30—40,4.15 ,7.22 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,7 ,40—60,4.56 ,15.12 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,7 ,60—80,4.86 ,16.02 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,7 ,80—100,5.27 ,17.21 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,8 ,0—10,7.96 ,11.15 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,8 ,10—20,4.59 ,7.12 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,8 ,20—30,4.79 ,8.24 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,8 ,30—40,4.46 ,7.78 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,8 ,40—60,4.38 ,14.60 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,8 ,60—80,3.70 ,12.52 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,8 ,80—100,3.90 ,13.14 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,9 ,0—10,5.24 ,8.43 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,9 ,10—20,4.80 ,8.56 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,9 ,20—30,5.14 ,8.86 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,9 ,30—40,4.88 ,8.57 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,9 ,40—60,5.30 ,17.29 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,9 ,60—80,5.27 ,17.22 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,9 ,80—100,4.89 ,16.12 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,0—10,4.60 ,6.79 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,10—20,3.94 ,7.00 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,20—30,3.28 ,5.41 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,30—40,4.13 ,6.64 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,40—60,4.49 ,14.92 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,60—80,3.59 ,12.17 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,10 ,80—100,4.25 ,14.20 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,0—10,4.27 ,6.59 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,10—20,4.07 ,7.14 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,20—30,3.79 ,6.64 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,30—40,3.79 ,6.46 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,40—60,5.04 ,16.55 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,60—80,5.00 ,16.43 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,11 ,80—100,4.91 ,16.17 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,0—10,1.59 ,2.80 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,10—20,1.91 ,3.13 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,20—30,5.70 ,9.60 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,30—40,6.41 ,8.57 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,40—60,5.85 ,18.85 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,60—80,5.09 ,16.69 ,This study,,,,,,,,,,,,
Tianjin, Duliujian River ,12 ,80—100,5.25 ,17.15 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,0—10,11.01 ,14.51 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,10—20,15.21 ,18.75 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,20—30,17.12 ,20.50 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,30—40,13.67 ,17.26 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,40—60,10.93 ,28.84 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,60—80,8.48 ,23.32 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,1 ,80—100,7.03 ,19.81 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,0—10,15.85 ,19.34 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,10—20,14.45 ,18.02 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,20—30,11.46 ,14.99 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,30—40,11.66 ,15.20 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,40—60,8.46 ,23.27 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,60—80,7.46 ,20.88 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,2 ,80—100,7.70 ,21.47 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,0—10,15.53 ,19.05 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,10—20,10.03 ,13.43 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,20—30,6.02 ,8.63 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,30—40,6.57 ,9.33 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,40—60,8.17 ,22.60 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,60—80,8.25 ,22.78 ,This study,,,,,,,,,,,,
Hebei,Nandagang Wetland,3 ,80—100,7.01 ,19.78 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,0—10,2.79 ,4.72 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,10—20,2.60 ,4.27 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,20—30,2.83 ,4.83 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,30—40,2.69 ,4.23 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,40—60,2.40 ,7.86 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,60—80,2.38 ,7.81 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,1 ,80—100,2.29 ,7.56 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,0—10,7.33 ,11.11 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,10—20,3.54 ,5.79 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,20—30,4.40 ,6.77 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,30—40,2.46 ,3.95 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,40—60,3.11 ,9.65 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,60—80,2.37 ,7.79 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,2 ,80—100,1.60 ,5.55 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,0—10,5.07 ,8.13 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,10—20,2.79 ,4.93 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,20—30,3.51 ,5.48 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,30—40,2.57 ,4.07 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,40—60,1.97 ,6.65 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,60—80,2.26 ,7.48 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,3 ,80—100,2.15 ,7.17 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,0—10,8.83 ,9.53 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,10—20,4.24 ,6.12 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,20—30,4.55 ,6.82 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,30—40,2.04 ,3.19 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,40—60,2.58 ,8.33 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,60—80,2.81 ,8.92 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,4 ,80—100,1.89 ,6.44 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,0—10,8.66 ,8.18 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,10—20,5.38 ,6.11 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,20—30,4.84 ,6.61 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,30—40,4.22 ,5.34 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,40—60,3.21 ,9.90 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,60—80,2.55 ,8.27 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,5 ,80—100,2.17 ,7.24 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,0—10,2.99 ,4.97 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,10—20,2.03 ,3.35 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,20—30,1.86 ,2.85 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,30—40,2.10 ,3.26 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,40—60,2.09 ,7.00 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,60—80,1.31 ,4.67 ,This study,,,,,,,,,,,,
Shandong,Yellow River Estuary,6 ,80—100,0.63 ,2.35 ,This study,,,,,,,,,,,,
Jiangsu,Linhong River Estuary,1 ,0—100,nd,93.70 ,"Fu et al., 2021",,,,,,,,,,,,
Jiangsu,Sheyang River Estuary,2 ,0—100,nd,103.60 ,"Fu et al., 2021",,,,,,,,,,,,
Jiangsu,Doulong Harbor,3 ,0—100,nd,63.30 ,"Fu et al., 2021",,,,,,,,,,,,
Jiangsu,Dafeng,4 ,0—100,nd,61.30 ,"Fu et al., 2021",,,,,,,,,,,,
Jiangsu,Qidong,5 ,0—100,nd,19.50 ,"Fu et al., 2021",,,,,,,,,,,,
Jiangsu,Wanggang Wetland,6 ,0—100,3.20 ,40.80 ,"Gao et al., 2016",,,,,,,,,,,,
Jiangsu,Wanggang Wetland,7 ,0—100,3.40 ,42.90 ,"Gao et al., 2016",,,,,,,,,,,,
Jiangsu,Wanggang Wetland,8 ,0—100,2.90 ,31.30 ,"Gao et al., 2016",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,9 ,0—100,0.90 ,14.35 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,10 ,0—100,2.40 ,31.84 ,"Liu et al., 2017",,,,,,,,,,,,
Jiangsu,Yancheng Wetland,11 ,0—100,2.70 ,36.92 ,"Liu et al., 2017",,,,,,,,,,,,
