Province,Wetland,Abbreviation,Site,Longitude,Latitude,Vegetation
Liaoning ,Liao River Delta,LRE,1,121.8923,41.0507,Suaeda glauca
Liaoning ,Liao River Delta,LRE,2,121.8923,41.0507,Phragmites australis
Liaoning ,Liao River Delta,LRE,3,121.8884,41.0321,Phragmites australis
Liaoning ,Liao River Delta,LRE,4,121.9361,40.9921,Phragmites australis
Liaoning ,Liao River Delta,LRE,5,121.9361,40.9921,Tidal flat
Liaoning ,Liao River Delta,LRE,6,121.8686,41.0468,Phragmites australis
Liaoning ,Liao River Delta,LRE,7,121.832,41.0499,Phragmites australis
Tianjin, Duliujian River ,LDJR,1,117.3194,38.8085,Phragmites australis
Tianjin, Duliujian River ,LDJR,2,117.3463,38.7823,Phragmites australis
Tianjin, Duliujian River ,LDJR,3,117.3617,38.7776,Phragmites australis
Tianjin, Duliujian River ,LDJR,4,117.3698,38.7755,Phragmites australis
Tianjin, Duliujian River ,LDJR,5,117.4028,38.7656,"Phragmites australis, Suaeda salsa"
Tianjin, Duliujian River ,LDJR,6,117.4305,38.7563,Tidal flat
Tianjin, Duliujian River ,LDJR,7,117.4403,38.7535,"Phragmites australis, Suaeda salsa"
Tianjin, Duliujian River ,LDJR,8,117.4513,38.7511,"Phragmites australis, Suaeda salsa"
Tianjin, Duliujian River ,LDJR,9,117.4605,38.7481,Suaeda salsa
Tianjin, Duliujian River ,LDJR,10,117.4726,38.7496,Suaeda salsa
Tianjin, Duliujian River ,LDJR,11,117.4882,38.7561,Suaeda salsa
Tianjin, Duliujian River ,LDJR,12,117.5701,38.7657,Tidal flat
Hebei,Nandagang Wetland,NDG,1,116.0964,38.9256,Phragmites australis
Hebei,Nandagang Wetland,NDG,2,116,38.8864,Phragmites australis
Hebei,Nandagang Wetland,NDG,3,116.1489,38.9278,Phragmites australis
Shandong,Yellow River Estuary,YRE,1,119.0227,37.6929,Tidal flat
Shandong,Yellow River Estuary,YRE,2,118.5869,37.6258,Phragmites australis
Shandong,Yellow River Estuary,YRE,3,118.7401,37.7249,Phragmites australis
Shandong,Yellow River Estuary,YRE,4,118.8817,37.7959,Phragmites australis
Shandong,Yellow River Estuary,YRE,5,119.1982,37.7387,Tidal flat
Shandong,Yellow River Estuary,YRE,6,119.1849,37.7475,Tidal flat
Jiangsu,Linhong River Estuary,LRE,1,119.2254,34.8001,S. alterniflora
Jiangsu,Sheyang River Estuary,SRE,2,120.4786,33.8131,S. alterniflora
Jiangsu,Doulong Harbor,DH,3,120.6796,33.4709,S. alterniflora
Jiangsu,Dafeng Wetland,DW,4,120.8857,33.0239,S. alterniflora
Jiangsu,Qidong Wetland,QW,5,121.431,32.3411,S. alterniflora
Jiangsu,Wanggang Wetland,WGW,6,120.7586,33.1864,S. alterniflora
Jiangsu,Wanggang Wetland,WGW,7,120.7589,33.1863,S. alterniflora
Jiangsu,Wanggang Wetland,WGW,8,120.7595,33.1861,S. alterniflora
Jiangsu,Yancheng Wetland,YCW,9,120.6168,33.6104,S. alterniflora
Jiangsu,Yancheng Wetland,YCW,10,120.6161,33.6093,S. alterniflora
Jiangsu,Yancheng Wetland,YCW,11,120.6148,33.6081,S. alterniflora
Jiangsu,Yancheng Wetland,YCW,12,120.6104,33.6074,S. alterniflora
Jiangsu,Yancheng Wetland,YCW,13,120.6101,33.6062,S. alterniflora
Jiangsu,Yancheng Wetland,YCW,14,120.6054,33.6031,S. alterniflora
Jiangsu,Yancheng Wetland,YCW,15,120.6043,33.6029,"S. alterniflora, S. salus"
Jiangsu,Yancheng Wetland,YCW,16,120.5862,33.5957,S. salus
Jiangsu,Yancheng Wetland,YCW,17,120.5533,33.5783,"Aeluropus littoralis, P. australis"
Jiangsu,Yancheng Wetland,YCW,18,—,—,P. australis
Jiangsu,Yancheng Wetland,YCW,19,—,—,S. salus
Jiangsu,Yancheng Wetland,YCW,20,—,—,S. alterniflora
Jiangsu,Yancheng Wetland,YCW,21,—,—,S. alterniflora
Jiangsu,Dafeng Wetland,DW,22,120.8617,33.0717,S. alterniflora
Shanghai,Chongming Island,CI,1,122.6167,31.5167,Phragmites australis
Shanghai,Chongming Island,CI,2,122.6167,31.5167,Spartina alterniflora
Shanghai,Chongming Island,CI,3,122.6167,31.5167,Phragmites australis
Shanghai,Chongming Island,CI,4,122.6167,31.5167,Spartina alterniflora
Shanghai,Chongming Island,CI,5,122.6167,31.5167,Phragmites australis
Shanghai,Chongming Island,CI,6,122.6167,31.5167,Spartina alterniflora
Shanghai,Hengsha Island,HI,1,121.8333,31.3333,Phragmites australis
Shanghai,Hengsha Island,HI,2,121.8333,31.3333,Spartina alterniflora
Shanghai,Hengsha Island,HI,3,121.8333,31.3333,Phragmites australis
Shanghai,Hengsha Island,HI,4,121.8333,31.3333,Spartina alterniflora
Shanghai,Hengsha Island,HI,5,121.8333,31.3333,Phragmites australis
Shanghai,Hengsha Island,HI,6,121.8333,31.3333,Spartina alterniflora
Zhejiang,Yueqing Bay,YB,1,121.1833,28.35,Kandelia obovate
Zhejiang,Yueqing Bay,YB,2,121.1833,28.35,Spartina alterniflora
Zhejiang,Yueqing Bay,YB,3,121.1833,28.35,Kandelia obovate
Zhejiang,Yueqing Bay,YB,4,121.1833,28.35,Spartina alterniflora
Zhejiang,Yueqing Bay,YB,5,121.1833,28.35,Kandelia obovate
Zhejiang,Yueqing Bay,YB,6,121.1833,28.35,Spartina alterniflora
Fujian,Minjiang River Estuary,MRE,1,119.6167,26.0167,Phragmites australis
Fujian,Minjiang River Estuary,MRE,2,119.6167,26.0167,Spartina alterniflora
Fujian,Minjiang River Estuary,MRE,3,119.6167,26.0167,Phragmites australis
Fujian,Minjiang River Estuary,MRE,4,119.6167,26.0167,Spartina alterniflora
Fujian,Minjiang River Estuary,MRE,5,119.6167,26.0167,Phragmites australis
Fujian,Minjiang River Estuary,MRE,6,119.6167,26.0167,Spartina alterniflora
Fujian,Jiulong River Estuary,JRE,1,117.9167,24.4167,Kandelia obovate
Fujian,Jiulong River Estuary,JRE,2,117.9167,24.4167,Spartina alterniflora
Fujian,Jiulong River Estuary,JRE,3,117.9167,24.4167,Kandelia obovate
Fujian,Jiulong River Estuary,JRE,4,117.9167,24.4167,Spartina alterniflora
Fujian,Jiulong River Estuary,JRE,5,117.9167,24.4167,Kandelia obovate
Fujian,Jiulong River Estuary,JRE,6,117.9167,24.4167,Spartina alterniflora
Fujian,Zhangjiang River Estuary,ZRE,1,117.45,23.9167,Kandelia obovate
Fujian,Zhangjiang River Estuary,ZRE,2,117.45,23.9167,Spartina alterniflora
Fujian,Zhangjiang River Estuary,ZRE,3,117.45,23.9167,Kandelia obovate
Fujian,Zhangjiang River Estuary,ZRE,4,117.45,23.9167,Spartina alterniflora
Fujian,Zhangjiang River Estuary,ZRE,5,117.45,23.9167,Kandelia obovate
Fujian,Zhangjiang River Estuary,ZRE,6,117.45,23.9167,Spartina alterniflora
Fujian,Zhangjiang River Estuary,ZRE,7,117.45,23.9167,Avicennia marina
Fujian,Zhangjiang River Estuary,ZRE,8,117.45,23.9167,Spartina alterniflora
Fujian,Zhangjiang River Estuary,ZRE,9,117.45,23.9167,Avicennia marina
Fujian,Zhangjiang River Estuary,ZRE,10,117.45,23.9167,Spartina alterniflora
Fujian,Zhangjiang River Estuary,ZRE,11,117.45,23.9167,Avicennia marina
Fujian,Zhangjiang River Estuary,ZRE,12,117.45,23.9167,Spartina alterniflora
Guangdong,Zhanjiang,ZJ,1,110.25,20.9167,Avicennia marina
Guangdong,Zhanjiang,ZJ,2,110.25,20.9167,Spartina alterniflora
Guangdong,Zhanjiang,ZJ,3,110.25,20.9167,Avicennia marina
Guangdong,Zhanjiang,ZJ,4,110.25,20.9167,Spartina alterniflora
Guangdong,Zhanjiang,ZJ,5,110.25,20.9167,Avicennia marina
Guangdong,Zhanjiang,ZJ,6,110.25,20.9167,Spartina alterniflora
Guangxi,Beihai,BH,1,109.4667,21.4667,Avicennia marina
Guangxi,Beihai,BH,2,109.4667,21.4667,Spartina alterniflora
Guangxi,Beihai,BH,3,109.4667,21.4667,Avicennia marina
Guangxi,Beihai,BH,4,109.4667,21.4667,Spartina alterniflora
Guangxi,Beihai,BH,5,109.4667,21.4667,Avicennia marina
Guangxi,Beihai,BH,6,109.4667,21.4667,Spartina alterniflora
Hainan,Dongzhai Bay,DB,1,110.6118,19.93,S. apetala
Hainan,Qinglan Harbor,QH,2,110.7973,19.5997,"K. obovata, R. stylosa"
Hainan,Xinying Harbor,XH,3,109.257,19.769,R. stylosa
Hainan,Dongzhai Bay,DB,4,110.541,20.002,R. stylosa
Hainan,Dongzhai Bay,DB,5,110.543,19.975,A. corniculatum
Hainan,Dongzhai Bay,DB,6,110.551,19.971,Ceriops tagal
Hainan,Dongzhai Bay,DB,7,110.563,19.978,A. marina
Hainan,Dongzhai Bay,DB,8,110.589,19.93,S. apetala
Hainan,Dongzhai Bay,DB,9,110.589,19.929,B. sexangula
Hainan,Dongzhai Bay,DB,10,nd,nd,R. stylosa
Hainan,Dongzhai Bay,DB,11,nd,nd,A. marina
Hainan,Dongzhai Bay,DB,12,nd,nd,C. tagal
Hainan,Dongzhai Bay,DB,13,nd,nd,B. sexangula
Hainan,Dongzhai Bay,DB,14,110.5811,19.947,B. sexangula
Hainan,Dongzhai Bay,DB,15,110.599,19.9157,B. gymnorrhiza
Hainan,Dongzhai Bay,DB,16,110.5992,19.9804,R. stylosa
Hainan,Dongzhai Bay,DB,17,110.6193,19.9266,K. obovata
Hainan,Dongzhai Bay,DB,18,110.5974,19.9366,A. corniculatum
Hainan,Dongzhai Bay,DB,19,110.5563,20.0071,A. marina
Hainan,Dongzhai Bay,DB,20,nd,nd,C. tagal
Hainan,Dongzhai Bay,DB,21,nd,nd,A. corniculatum
Hainan,Dongzhai Bay,DB,22,nd,nd,B. sexangula
Hainan,Dongzhai Bay,DB,23,nd,nd,S. apetala
Hainan,Dongzhai Bay,DB,24,nd,nd,A. marina
Hainan,Dongzhai Bay,DB,25,nd,nd,R. stylosa
Hainan,Dongzhai Bay,DB,26,110.5,19.85,R. stylosa
Hainan,Dongzhai Bay,DB,27,110.5,19.85,"R. stylosa, C. tagal"
Hainan,Qinglan Harbor,QH,28,nd,nd,"B. sexangula, Hibiscus tiliaceus"
Hainan,Qinglan Harbor,QH,29,nd,nd,C. tagal
Hainan,Qinglan Harbor,QH,30,nd,nd,A. corniculatum
Hainan,Qinglan Harbor,QH,31,nd,nd,B. sexangula
Hainan,Qinglan Harbor,QH,32,110.0333,19.25,B. sexangula
Hainan,Sanya Bay,SYB,33,nd,nd,S. apetala
Hainan,Sanya Bay,SYB,34,nd,nd,A. marina
Hainan,Sanya Bay,SYB,35,nd,nd,R. stylosa
Hainan,Sibi Bay,SBB,36,nd,nd,A. marina
Hainan,Xinying Bay,XB,37,nd,nd,R. stylosa
Hainan,"Dongzhai Bay, Qinglan Harbor, Tielu Harbor, Danzhou, Lingao","DB, QH, TH, DZ, LG",38,nd,nd,—
