"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","TC_mg_g","OC_mg_g","IC_mg_g","TN_mg_g","DOI"
"1","Ewers Lewis et al 2020","CEL AIR 3 Rep 3","Angahook-Lorne State Park Reserve","AIR 3 Rep 3","Tidal marsh",-38.466617,144.096633,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",19.48,0.46,186.11,194.85,NA,11.68,"https://doi.org/10.7910/DVN/6PFBO0"
"2","Ewers Lewis et al 2020","CEL AIR 3 Rep 3","Angahook-Lorne State Park Reserve","AIR 3 Rep 3","Tidal marsh",-38.466617,144.096633,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",3.21,1.2,30,32.1,NA,1.73,"https://doi.org/10.7910/DVN/6PFBO0"
"3","Ewers Lewis et al 2020","CEL AIR 3 Rep 3","Angahook-Lorne State Park Reserve","AIR 3 Rep 3","Tidal marsh",-38.466617,144.096633,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",1.63,1.52,14.45,16.34,NA,0.99,"https://doi.org/10.7910/DVN/6PFBO0"
"4","Ewers Lewis et al 2020","CEL AIR 2 Rep 2","Angahook-Lorne State Park Reserve","AIR 2 Rep 2","Tidal marsh",-38.466717,144.097,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",40.14,0.16,383.94,401.42,NA,19.68,"https://doi.org/10.7910/DVN/6PFBO0"
"5","Ewers Lewis et al 2020","CEL AIR 2 Rep 2","Angahook-Lorne State Park Reserve","AIR 2 Rep 2","Tidal marsh",-38.466717,144.097,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",4.36,0.85,44.4,43.58,NA,3.41,"https://doi.org/10.7910/DVN/6PFBO0"
"6","Ewers Lewis et al 2020","CEL AIR 2 Rep 2","Angahook-Lorne State Park Reserve","AIR 2 Rep 2","Tidal marsh",-38.466717,144.097,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.98,1.81,9.14,9.84,NA,0.65,"https://doi.org/10.7910/DVN/6PFBO0"
"7","Ewers Lewis et al 2020","CEL AIR 1 Rep 1","Angahook-Lorne State Park Reserve","AIR 1 Rep 1","Tidal marsh",-38.466667,144.097733,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",26.24,0.23,254.23,262.39,NA,15.63,"https://doi.org/10.7910/DVN/6PFBO0"
"8","Ewers Lewis et al 2020","CEL AIR 1 Rep 1","Angahook-Lorne State Park Reserve","AIR 1 Rep 1","Tidal marsh",-38.466667,144.097733,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",1.11,1.5,9.97,11.05,NA,0.99,"https://doi.org/10.7910/DVN/6PFBO0"
"9","Ewers Lewis et al 2020","CEL AIR 1 Rep 1","Angahook-Lorne State Park Reserve","AIR 1 Rep 1","Tidal marsh",-38.466667,144.097733,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.36,1.8,3.89,3.61,NA,0.21,"https://doi.org/10.7910/DVN/6PFBO0"
"10","Ewers Lewis et al 2020","CEL ALT 2 Rep 2","Point Cook Coastal Park","ALT 2 Rep 2","Tidal marsh",-37.897267,144.7841,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",15.69,0.31,162.37,156.89,NA,11.21,"https://doi.org/10.7910/DVN/6PFBO0"
"11","Ewers Lewis et al 2020","CEL ALT 2 Rep 2","Point Cook Coastal Park","ALT 2 Rep 2","Tidal marsh",-37.897267,144.7841,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",2.86,1.2,39.48,28.63,10.93,2.38,"https://doi.org/10.7910/DVN/6PFBO0"
"12","Ewers Lewis et al 2020","CEL ALT 2 Rep 2","Point Cook Coastal Park","ALT 2 Rep 2","Tidal marsh",-37.897267,144.7841,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.47,1.2,56.27,4.72,55.99,0.84,"https://doi.org/10.7910/DVN/6PFBO0"
"13","Ewers Lewis et al 2020","CEL ALT 3 Rep 3","Point Cook Coastal Park","ALT 3 Rep 3","Tidal marsh",-37.896517,144.7841,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",9.96,0.39,112.95,99.65,NA,9.16,"https://doi.org/10.7910/DVN/6PFBO0"
"14","Ewers Lewis et al 2020","CEL ALT 3 Rep 3","Point Cook Coastal Park","ALT 3 Rep 3","Tidal marsh",-37.896517,144.7841,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",3.89,1.03,41.44,38.95,NA,3.85,"https://doi.org/10.7910/DVN/6PFBO0"
"15","Ewers Lewis et al 2020","CEL ALT 3 Rep 3","Point Cook Coastal Park","ALT 3 Rep 3","Tidal marsh",-37.896517,144.7841,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.74,0.97,60.12,7.36,45.49,0.57,"https://doi.org/10.7910/DVN/6PFBO0"
"16","Ewers Lewis et al 2020","CEL ALT 1 Rep 1","Point Cook Coastal Park","ALT 1 Rep 1","Tidal marsh",-37.897183,144.783467,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",15.53,0.22,160.66,155.32,21.28,11.1,"https://doi.org/10.7910/DVN/6PFBO0"
"17","Ewers Lewis et al 2020","CEL ALT 1 Rep 1","Point Cook Coastal Park","ALT 1 Rep 1","Tidal marsh",-37.897183,144.783467,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",3.82,0.46,65.38,38.22,19.83,4.09,"https://doi.org/10.7910/DVN/6PFBO0"
"18","Ewers Lewis et al 2020","CEL ALT 1 Rep 1","Point Cook Coastal Park","ALT 1 Rep 1","Tidal marsh",-37.897183,144.783467,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",1.18,0.89,53.22,11.81,33.89,1.3,"https://doi.org/10.7910/DVN/6PFBO0"
"19","Ewers Lewis et al 2020","CEL BRE 2 Rep 2","Breamlea Flor and Fauna Reserve","BRE 2 Rep 2","Tidal marsh",-38.294967,144.386183,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",6.21,0.76,58.34,62.11,NA,5.57,"https://doi.org/10.7910/DVN/6PFBO0"
"20","Ewers Lewis et al 2020","CEL BRE 2 Rep 2","Breamlea Flor and Fauna Reserve","BRE 2 Rep 2","Tidal marsh",-38.294967,144.386183,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.5,1.87,4.02,5,NA,0.64,"https://doi.org/10.7910/DVN/6PFBO0"
"21","Ewers Lewis et al 2020","CEL BRE 2 Rep 2","Breamlea Flor and Fauna Reserve","BRE 2 Rep 2","Tidal marsh",-38.294967,144.386183,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.62,1.35,5.65,6.23,NA,0.85,"https://doi.org/10.7910/DVN/6PFBO0"
"22","Ewers Lewis et al 2020","CEL BRE 1 Rep 1","Breamlea Flor and Fauna Reserve","BRE 1 Rep 1","Tidal marsh",-38.295767,144.38605,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",3.93,0.79,63.26,39.29,27.03,3.65,"https://doi.org/10.7910/DVN/6PFBO0"
"23","Ewers Lewis et al 2020","CEL BRE 1 Rep 1","Breamlea Flor and Fauna Reserve","BRE 1 Rep 1","Tidal marsh",-38.295767,144.38605,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",1.23,1.21,13.14,12.3,NA,1.46,"https://doi.org/10.7910/DVN/6PFBO0"
"24","Ewers Lewis et al 2020","CEL BRE 1 Rep 1","Breamlea Flor and Fauna Reserve","BRE 1 Rep 1","Tidal marsh",-38.295767,144.38605,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.87,1.42,9.64,8.69,NA,0.89,"https://doi.org/10.7910/DVN/6PFBO0"
"25","Ewers Lewis et al 2020","CEL BRE 3 Rep 3","Breamlea Flor and Fauna Reserve","BRE 3 Rep 3","Tidal marsh",-38.294467,144.386267,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",3.96,0.84,36.89,39.55,NA,3.49,"https://doi.org/10.7910/DVN/6PFBO0"
"26","Ewers Lewis et al 2020","CEL BRE 3 Rep 3","Breamlea Flor and Fauna Reserve","BRE 3 Rep 3","Tidal marsh",-38.294467,144.386267,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.74,1.22,6.39,7.36,NA,0.85,"https://doi.org/10.7910/DVN/6PFBO0"
"27","Ewers Lewis et al 2020","CEL BRE 3 Rep 3","Breamlea Flor and Fauna Reserve","BRE 3 Rep 3","Tidal marsh",-38.294467,144.386267,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.7,1.89,8.13,7.01,NA,0.65,"https://doi.org/10.7910/DVN/6PFBO0"
"28","Ewers Lewis et al 2020","CEL BRM 3 Rep 3","Breamlea Flor and Fauna Reserve","BRM 3 Rep 3","Tidal marsh",-38.286483,144.400717,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",31.72,0.14,296.86,317.25,NA,18.82,"https://doi.org/10.7910/DVN/6PFBO0"
"29","Ewers Lewis et al 2020","CEL BRM 3 Rep 3","Breamlea Flor and Fauna Reserve","BRM 3 Rep 3","Tidal marsh",-38.286483,144.400717,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",13.2,0.71,127.49,132.01,NA,7.49,"https://doi.org/10.7910/DVN/6PFBO0"
"30","Ewers Lewis et al 2020","CEL BRM 3 Rep 3","Breamlea Flor and Fauna Reserve","BRM 3 Rep 3","Tidal marsh",-38.286483,144.400717,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",NA,NA,NA,NA,NA,NA,"https://doi.org/10.7910/DVN/6PFBO0"
"31","Ewers Lewis et al 2020","CEL BRM 2 Rep 2","Breamlea Flor and Fauna Reserve","BRM 2 Rep 2","Tidal marsh",-38.2867,144.400167,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",33.55,0.2,315.3,335.52,NA,20.5,"https://doi.org/10.7910/DVN/6PFBO0"
"32","Ewers Lewis et al 2020","CEL BRM 2 Rep 2","Breamlea Flor and Fauna Reserve","BRM 2 Rep 2","Tidal marsh",-38.2867,144.400167,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",3.91,0.58,40.16,39.09,NA,3.2,"https://doi.org/10.7910/DVN/6PFBO0"
"33","Ewers Lewis et al 2020","CEL BRM 2 Rep 2","Breamlea Flor and Fauna Reserve","BRM 2 Rep 2","Tidal marsh",-38.2867,144.400167,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",7.28,0.86,74.34,72.75,NA,5.11,"https://doi.org/10.7910/DVN/6PFBO0"
"34","Ewers Lewis et al 2020","CEL BRM 1 Rep 1","Breamlea Flor and Fauna Reserve","BRM 1 Rep 1","Tidal marsh",-38.286833,144.399483,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",33.75,0.22,326.75,337.48,NA,18.93,"https://doi.org/10.7910/DVN/6PFBO0"
"35","Ewers Lewis et al 2020","CEL BRM 1 Rep 1","Breamlea Flor and Fauna Reserve","BRM 1 Rep 1","Tidal marsh",-38.286833,144.399483,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",2.31,1.12,24.73,23.14,NA,2.48,"https://doi.org/10.7910/DVN/6PFBO0"
"36","Ewers Lewis et al 2020","CEL BRM 1 Rep 1","Breamlea Flor and Fauna Reserve","BRM 1 Rep 1","Tidal marsh",-38.286833,144.399483,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.3,1.57,22.24,3.04,23.44,0.57,"https://doi.org/10.7910/DVN/6PFBO0"
"37","Ewers Lewis et al 2020","CEL CHU 3 Rep 3","Churchill Island MNP","CHU 3 Rep 3","Tidal marsh",-38.51,145.345117,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",3.93,0.67,37.09,39.29,NA,3.03,"https://doi.org/10.7910/DVN/6PFBO0"
"38","Ewers Lewis et al 2020","CEL CHU 3 Rep 3","Churchill Island MNP","CHU 3 Rep 3","Tidal marsh",-38.51,145.345117,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",3.34,0.57,32.95,33.36,NA,2.83,"https://doi.org/10.7910/DVN/6PFBO0"
"39","Ewers Lewis et al 2020","CEL CHU 3 Rep 3","Churchill Island MNP","CHU 3 Rep 3","Tidal marsh",-38.51,145.345117,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",4.45,0.47,46.42,44.5,NA,3.1,"https://doi.org/10.7910/DVN/6PFBO0"
"40","Ewers Lewis et al 2020","CEL CHU 1 Rep 1","Churchill Island MNP","CHU 1 Rep 1","Tidal marsh",-38.509833,145.344717,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",9.27,0.42,87.83,92.72,NA,7.33,"https://doi.org/10.7910/DVN/6PFBO0"
"41","Ewers Lewis et al 2020","CEL CHU 1 Rep 1","Churchill Island MNP","CHU 1 Rep 1","Tidal marsh",-38.509833,145.344717,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",5.7,0.43,54.57,56.98,NA,4.97,"https://doi.org/10.7910/DVN/6PFBO0"
"42","Ewers Lewis et al 2020","CEL CHU 1 Rep 1","Churchill Island MNP","CHU 1 Rep 1","Tidal marsh",-38.509833,145.344717,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",4.97,0.47,47.64,49.68,NA,4.32,"https://doi.org/10.7910/DVN/6PFBO0"
"43","Ewers Lewis et al 2020","CEL CHU 2 Rep 2","Churchill Island MNP","CHU 2 Rep 2","Tidal marsh",-38.509917,145.3449,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",7.11,0.35,70.76,71.1,NA,6.4,"https://doi.org/10.7910/DVN/6PFBO0"
"44","Ewers Lewis et al 2020","CEL CHU 2 Rep 2","Churchill Island MNP","CHU 2 Rep 2","Tidal marsh",-38.509917,145.3449,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",4.51,0.55,45.33,45.12,NA,3.81,"https://doi.org/10.7910/DVN/6PFBO0"
"45","Ewers Lewis et al 2020","CEL CHU 2 Rep 2","Churchill Island MNP","CHU 2 Rep 2","Tidal marsh",-38.509917,145.3449,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",4.55,0.48,44.81,45.47,NA,3.94,"https://doi.org/10.7910/DVN/6PFBO0"
"46","Ewers Lewis et al 2020","CEL CON 1 Rep 1","Lake Connewarre Wildlife Reserve","CON 1 Rep 1","Tidal marsh",-38.251317,144.438117,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",7.37,0.71,69.01,73.69,NA,6.26,"https://doi.org/10.7910/DVN/6PFBO0"
"47","Ewers Lewis et al 2020","CEL CON 1 Rep 1","Lake Connewarre Wildlife Reserve","CON 1 Rep 1","Tidal marsh",-38.251317,144.438117,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.33,1.72,4.67,3.28,0.78,0.42,"https://doi.org/10.7910/DVN/6PFBO0"
"48","Ewers Lewis et al 2020","CEL CON 1 Rep 1","Lake Connewarre Wildlife Reserve","CON 1 Rep 1","Tidal marsh",-38.251317,144.438117,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.14,1.37,46.15,1.41,56.08,0.35,"https://doi.org/10.7910/DVN/6PFBO0"
"49","Ewers Lewis et al 2020","CEL CON 2 Rep 2","Lake Connewarre Wildlife Reserve","CON 2 Rep 2","Tidal marsh",-38.250933,144.437667,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",7.3,0.6,69.59,72.99,NA,6.31,"https://doi.org/10.7910/DVN/6PFBO0"
"50","Ewers Lewis et al 2020","CEL CON 2 Rep 2","Lake Connewarre Wildlife Reserve","CON 2 Rep 2","Tidal marsh",-38.250933,144.437667,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.05,1.65,23.02,0.49,26.92,0.24,"https://doi.org/10.7910/DVN/6PFBO0"
"51","Ewers Lewis et al 2020","CEL CON 2 Rep 2","Lake Connewarre Wildlife Reserve","CON 2 Rep 2","Tidal marsh",-38.250933,144.437667,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.09,1.6,38.22,0.89,37.9,0.74,"https://doi.org/10.7910/DVN/6PFBO0"
"52","Ewers Lewis et al 2020","CEL CON 3 Rep 3","Lake Connewarre Wildlife Reserve","CON 3 Rep 3","Tidal marsh",-38.25015,144.436867,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",23.88,0.24,228.95,238.76,NA,15.19,"https://doi.org/10.7910/DVN/6PFBO0"
"53","Ewers Lewis et al 2020","CEL CON 3 Rep 3","Lake Connewarre Wildlife Reserve","CON 3 Rep 3","Tidal marsh",-38.25015,144.436867,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",2.1,1.34,22.47,21.05,NA,2.35,"https://doi.org/10.7910/DVN/6PFBO0"
"54","Ewers Lewis et al 2020","CEL CON 3 Rep 3","Lake Connewarre Wildlife Reserve","CON 3 Rep 3","Tidal marsh",-38.25015,144.436867,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",NA,NA,NA,NA,NA,NA,"https://doi.org/10.7910/DVN/6PFBO0"
"55","Ewers Lewis et al 2020","CEL DOU 1 Rep 1","Croajingolong National Park","DOU 1 Rep 1","Tidal marsh",-37.525967,149.69725,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",22.32,0.2,220.01,223.2,NA,14.4,"https://doi.org/10.7910/DVN/6PFBO0"
"56","Ewers Lewis et al 2020","CEL DOU 1 Rep 1","Croajingolong National Park","DOU 1 Rep 1","Tidal marsh",-37.525967,149.69725,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",7.69,0.51,72.88,76.87,NA,5.35,"https://doi.org/10.7910/DVN/6PFBO0"
"57","Ewers Lewis et al 2020","CEL DOU 1 Rep 1","Croajingolong National Park","DOU 1 Rep 1","Tidal marsh",-37.525967,149.69725,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.96,1.44,9.39,9.6,NA,0.71,"https://doi.org/10.7910/DVN/6PFBO0"
"58","Ewers Lewis et al 2020","CEL DOU 2 Rep 2","Croajingolong National Park","DOU 2 Rep 2","Tidal marsh",-37.525917,149.69705,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",19.73,0.2,192.9,197.29,NA,12.21,"https://doi.org/10.7910/DVN/6PFBO0"
"59","Ewers Lewis et al 2020","CEL DOU 2 Rep 2","Croajingolong National Park","DOU 2 Rep 2","Tidal marsh",-37.525917,149.69705,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",2.75,0.89,23.74,27.52,NA,2.04,"https://doi.org/10.7910/DVN/6PFBO0"
"60","Ewers Lewis et al 2020","CEL DOU 2 Rep 2","Croajingolong National Park","DOU 2 Rep 2","Tidal marsh",-37.525917,149.69705,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",1.43,1.4,11.34,14.27,NA,1.15,"https://doi.org/10.7910/DVN/6PFBO0"
"61","Ewers Lewis et al 2020","CEL DOU 3 Rep 3","Croajingolong National Park","DOU 3 Rep 3","Tidal marsh",-37.526,149.696567,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",19.49,0.21,193.4,194.91,NA,12.51,"https://doi.org/10.7910/DVN/6PFBO0"
"62","Ewers Lewis et al 2020","CEL DOU 3 Rep 3","Croajingolong National Park","DOU 3 Rep 3","Tidal marsh",-37.526,149.696567,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",6.15,0.58,57.94,61.49,NA,4.45,"https://doi.org/10.7910/DVN/6PFBO0"
"63","Ewers Lewis et al 2020","CEL DOU 3 Rep 3","Croajingolong National Park","DOU 3 Rep 3","Tidal marsh",-37.526,149.696567,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.51,1.29,4.66,5.13,NA,0.51,"https://doi.org/10.7910/DVN/6PFBO0"
"64","Ewers Lewis et al 2020","CEL FOS 7 Rep 1","Corner Inlet Marine and Coastal Park","FOS 7 Rep 1","Tidal marsh",-38.69365,146.2436,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",2.3,0.65,22.21,23.04,NA,1.82,"https://doi.org/10.7910/DVN/6PFBO0"
"65","Ewers Lewis et al 2020","CEL FOS 7 Rep 1","Corner Inlet Marine and Coastal Park","FOS 7 Rep 1","Tidal marsh",-38.69365,146.2436,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.55,1.4,5.51,5.49,NA,0.4,"https://doi.org/10.7910/DVN/6PFBO0"
"66","Ewers Lewis et al 2020","CEL FOS 7 Rep 1","Corner Inlet Marine and Coastal Park","FOS 7 Rep 1","Tidal marsh",-38.69365,146.2436,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.38,1.73,2.77,3.8,NA,0.29,"https://doi.org/10.7910/DVN/6PFBO0"
"67","Ewers Lewis et al 2020","CEL FOS 8 Rep 2","Corner Inlet Marine and Coastal Park","FOS 8 Rep 2","Tidal marsh",-38.694133,146.24395,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",1.95,1.17,19.3,19.52,NA,1.24,"https://doi.org/10.7910/DVN/6PFBO0"
"68","Ewers Lewis et al 2020","CEL FOS 9 Rep 3","Corner Inlet Marine and Coastal Park","FOS 9 Rep 3","Tidal marsh",-38.694467,146.244083,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",1.32,1.15,13.04,13.18,NA,0.99,"https://doi.org/10.7910/DVN/6PFBO0"
"69","Ewers Lewis et al 2020","CEL FOS 9 Rep 3","Corner Inlet Marine and Coastal Park","FOS 9 Rep 3","Tidal marsh",-38.694467,146.244083,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.44,1.42,3.39,4.36,NA,0.37,"https://doi.org/10.7910/DVN/6PFBO0"
"70","Ewers Lewis et al 2020","CEL FOS 9 Rep 3","Corner Inlet Marine and Coastal Park","FOS 9 Rep 3","Tidal marsh",-38.694467,146.244083,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.33,1.1,2.69,3.29,NA,0.26,"https://doi.org/10.7910/DVN/6PFBO0"
"71","Ewers Lewis et al 2020","CEL FOS 8 Rep 2","Corner Inlet Marine and Coastal Park","FOS 8 Rep 2","Tidal marsh",-38.694133,146.24395,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",6.51,0.5,59.74,65.08,NA,4.74,"https://doi.org/10.7910/DVN/6PFBO0"
"72","Ewers Lewis et al 2020","CEL FOS 8 Rep 2","Corner Inlet Marine and Coastal Park","FOS 8 Rep 2","Tidal marsh",-38.694133,146.24395,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.44,1.59,3.54,4.42,NA,0.38,"https://doi.org/10.7910/DVN/6PFBO0"
"73","Ewers Lewis et al 2020","CEL HAS 2 Rep 2","French Island MNP","HAS 2 Rep 2","Tidal marsh",-38.3179,145.195717,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",24.62,0.21,232.99,246.2,NA,18.28,"https://doi.org/10.7910/DVN/6PFBO0"
