"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","TC_mg_g","OC_mg_g","IC_mg_g","TN_mg_g","DOI"
"74","Ewers Lewis et al 2020","CEL HAS 2 Rep 2","French Island MNP","HAS 2 Rep 2","Tidal marsh",-38.3179,145.195717,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",5.69,0.74,48.08,56.89,NA,5.57,"https://doi.org/10.7910/DVN/6PFBO0"
"75","Ewers Lewis et al 2020","CEL HAS 2 Rep 2","French Island MNP","HAS 2 Rep 2","Tidal marsh",-38.3179,145.195717,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",1.88,0.9,20.4,18.84,NA,2.32,"https://doi.org/10.7910/DVN/6PFBO0"
"76","Ewers Lewis et al 2020","CEL HAS 1 Rep 1","French Island MNP","HAS 1 Rep 1","Tidal marsh",-38.317533,145.1951,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",27.79,0.21,268.01,277.86,NA,18.42,"https://doi.org/10.7910/DVN/6PFBO0"
"77","Ewers Lewis et al 2020","CEL HAS 1 Rep 1","French Island MNP","HAS 1 Rep 1","Tidal marsh",-38.317533,145.1951,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",11.35,0.57,103.6,113.51,NA,9.19,"https://doi.org/10.7910/DVN/6PFBO0"
"78","Ewers Lewis et al 2020","CEL HAS 1 Rep 1","French Island MNP","HAS 1 Rep 1","Tidal marsh",-38.317533,145.1951,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",1.3,1,13.26,13.02,NA,1.65,"https://doi.org/10.7910/DVN/6PFBO0"
"79","Ewers Lewis et al 2020","CEL HAS 3 Rep 3","French Island MNP","HAS 3 Rep 3","Tidal marsh",-38.318383,145.19615,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",18.34,0.22,175.17,183.39,NA,13.35,"https://doi.org/10.7910/DVN/6PFBO0"
"80","Ewers Lewis et al 2020","CEL HAS 3 Rep 3","French Island MNP","HAS 3 Rep 3","Tidal marsh",-38.318383,145.19615,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",12.97,0.34,117.08,129.73,NA,11,"https://doi.org/10.7910/DVN/6PFBO0"
"81","Ewers Lewis et al 2020","CEL HAS 3 Rep 3","French Island MNP","HAS 3 Rep 3","Tidal marsh",-38.318383,145.19615,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",3.39,0.66,35.84,33.93,NA,3.14,"https://doi.org/10.7910/DVN/6PFBO0"
"82","Ewers Lewis et al 2020","CEL HOS 1 Rep 1","Lake Connewarre Wildlife Reserve","HOS 1 Rep 1","Tidal marsh",-38.241233,144.4209,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",23.38,0.2,224.82,233.77,NA,14.97,"https://doi.org/10.7910/DVN/6PFBO0"
"83","Ewers Lewis et al 2020","CEL HOS 1 Rep 1","Lake Connewarre Wildlife Reserve","HOS 1 Rep 1","Tidal marsh",-38.241233,144.4209,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.69,1.51,6.68,6.92,NA,0.55,"https://doi.org/10.7910/DVN/6PFBO0"
"84","Ewers Lewis et al 2020","CEL HOS 1 Rep 1","Lake Connewarre Wildlife Reserve","HOS 1 Rep 1","Tidal marsh",-38.241233,144.4209,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.03,1.57,40.74,0.3,54.78,0.14,"https://doi.org/10.7910/DVN/6PFBO0"
"85","Ewers Lewis et al 2020","CEL HOS 2 Rep 2","Lake Connewarre Wildlife Reserve","HOS 2 Rep 2","Tidal marsh",-38.240783,144.421083,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",27.38,0.21,258.7,273.77,NA,16.71,"https://doi.org/10.7910/DVN/6PFBO0"
"86","Ewers Lewis et al 2020","CEL HOS 2 Rep 2","Lake Connewarre Wildlife Reserve","HOS 2 Rep 2","Tidal marsh",-38.240783,144.421083,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.86,1.69,7.95,8.64,NA,0.76,"https://doi.org/10.7910/DVN/6PFBO0"
"87","Ewers Lewis et al 2020","CEL HOS 2 Rep 2","Lake Connewarre Wildlife Reserve","HOS 2 Rep 2","Tidal marsh",-38.240783,144.421083,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.29,1.23,30.99,2.87,35.58,0.55,"https://doi.org/10.7910/DVN/6PFBO0"
"88","Ewers Lewis et al 2020","CEL HOS 3 Rep 3","Lake Connewarre Wildlife Reserve","HOS 3 Rep 3","Tidal marsh",-38.24035,144.421217,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",26.99,0.14,254.53,269.95,NA,16.23,"https://doi.org/10.7910/DVN/6PFBO0"
"89","Ewers Lewis et al 2020","CEL HOS 3 Rep 3","Lake Connewarre Wildlife Reserve","HOS 3 Rep 3","Tidal marsh",-38.24035,144.421217,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",2.23,0.88,24.11,22.28,NA,2.46,"https://doi.org/10.7910/DVN/6PFBO0"
"90","Ewers Lewis et al 2020","CEL HOS 3 Rep 3","Lake Connewarre Wildlife Reserve","HOS 3 Rep 3","Tidal marsh",-38.24035,144.421217,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.19,1.29,37.47,1.85,43.07,0.3,"https://doi.org/10.7910/DVN/6PFBO0"
"91","Ewers Lewis et al 2020","CEL IND 1 Rep 1","Salt Lagoon State Nature Reserve","IND 1 Rep 1","Tidal marsh",-38.161167,144.7143,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",13.16,0.39,181.42,131.6,48.41,11.31,"https://doi.org/10.7910/DVN/6PFBO0"
"92","Ewers Lewis et al 2020","CEL IND 1 Rep 1","Salt Lagoon State Nature Reserve","IND 1 Rep 1","Tidal marsh",-38.161167,144.7143,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.45,1.34,4.37,4.54,NA,0.58,"https://doi.org/10.7910/DVN/6PFBO0"
"93","Ewers Lewis et al 2020","CEL IND 1 Rep 1","Salt Lagoon State Nature Reserve","IND 1 Rep 1","Tidal marsh",-38.161167,144.7143,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.22,1.4,12.46,2.19,8.74,0.25,"https://doi.org/10.7910/DVN/6PFBO0"
"94","Ewers Lewis et al 2020","CEL IND 3 Rep 3","Salt Lagoon State Nature Reserve","IND 3 Rep 3","Tidal marsh",-38.160283,144.715,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",8.82,0.5,167.23,88.22,66.33,7.99,"https://doi.org/10.7910/DVN/6PFBO0"
"95","Ewers Lewis et al 2020","CEL IND 3 Rep 3","Salt Lagoon State Nature Reserve","IND 3 Rep 3","Tidal marsh",-38.160283,144.715,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.22,2.11,13.38,2.16,15,0.74,"https://doi.org/10.7910/DVN/6PFBO0"
"96","Ewers Lewis et al 2020","CEL IND 3 Rep 3","Salt Lagoon State Nature Reserve","IND 3 Rep 3","Tidal marsh",-38.160283,144.715,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.04,2.05,37.96,0.4,41.79,0.19,"https://doi.org/10.7910/DVN/6PFBO0"
"97","Ewers Lewis et al 2020","CEL IND 2 Rep 2","Salt Lagoon State Nature Reserve","IND 2 Rep 2","Tidal marsh",-38.161983,144.713817,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",22.4,0.24,228.88,223.98,37.04,16.66,"https://doi.org/10.7910/DVN/6PFBO0"
"98","Ewers Lewis et al 2020","CEL IND 2 Rep 2","Salt Lagoon State Nature Reserve","IND 2 Rep 2","Tidal marsh",-38.161983,144.713817,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.61,1.55,25.59,6.13,15.8,0.76,"https://doi.org/10.7910/DVN/6PFBO0"
"99","Ewers Lewis et al 2020","CEL IND 2 Rep 2","Salt Lagoon State Nature Reserve","IND 2 Rep 2","Tidal marsh",-38.161983,144.713817,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.14,1.35,19.09,1.37,30.69,0.49,"https://doi.org/10.7910/DVN/6PFBO0"
"100","Ewers Lewis et al 2020","CEL JAW 1 Rep 1","Jawbone MS","JAW 1 Rep 1","Tidal marsh",-37.8663,144.878983,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",20.16,0.18,196.08,201.61,NA,13.64,"https://doi.org/10.7910/DVN/6PFBO0"
"101","Ewers Lewis et al 2020","CEL JAW 1 Rep 1","Jawbone MS","JAW 1 Rep 1","Tidal marsh",-37.8663,144.878983,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.98,1.32,9.87,9.78,NA,0.98,"https://doi.org/10.7910/DVN/6PFBO0"
"102","Ewers Lewis et al 2020","CEL JAW 1 Rep 1","Jawbone MS","JAW 1 Rep 1","Tidal marsh",-37.8663,144.878983,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.11,1.96,0.84,1.12,NA,0.23,"https://doi.org/10.7910/DVN/6PFBO0"
"103","Ewers Lewis et al 2020","CEL JAW 3 Rep 3","Jawbone MS","JAW 3 Rep 3","Tidal marsh",-37.866633,144.8785,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",25.92,0.22,256.73,259.25,NA,15.53,"https://doi.org/10.7910/DVN/6PFBO0"
"104","Ewers Lewis et al 2020","CEL JAW 3 Rep 3","Jawbone MS","JAW 3 Rep 3","Tidal marsh",-37.866633,144.8785,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",5.53,0.84,55.56,55.28,NA,4.47,"https://doi.org/10.7910/DVN/6PFBO0"
"105","Ewers Lewis et al 2020","CEL JAW 3 Rep 3","Jawbone MS","JAW 3 Rep 3","Tidal marsh",-37.866633,144.8785,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.57,1.48,6,5.73,NA,0.54,"https://doi.org/10.7910/DVN/6PFBO0"
"106","Ewers Lewis et al 2020","CEL JAW 2 Rep 2","Jawbone MS","JAW 2 Rep 2","Tidal marsh",-37.866583,144.878917,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",26.58,0.18,269.55,265.82,NA,16.42,"https://doi.org/10.7910/DVN/6PFBO0"
"107","Ewers Lewis et al 2020","CEL JAW 2 Rep 2","Jawbone MS","JAW 2 Rep 2","Tidal marsh",-37.866583,144.878917,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",3.75,1.03,38.05,37.45,NA,3.35,"https://doi.org/10.7910/DVN/6PFBO0"
"108","Ewers Lewis et al 2020","CEL JAW 2 Rep 2","Jawbone MS","JAW 2 Rep 2","Tidal marsh",-37.866583,144.878917,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",4.22,1.06,41.56,42.16,NA,3.6,"https://doi.org/10.7910/DVN/6PFBO0"
"109","Ewers Lewis et al 2020","CEL KAL 3 Rep 3","Nyerimilang Park","KAL 3 Rep 3","Tidal marsh",-37.870617,147.939183,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",20.56,0.15,199.48,205.63,NA,14.37,"https://doi.org/10.7910/DVN/6PFBO0"
"110","Ewers Lewis et al 2020","CEL KAL 3 Rep 3","Nyerimilang Park","KAL 3 Rep 3","Tidal marsh",-37.870617,147.939183,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",5.23,0.56,50.43,52.31,NA,3.77,"https://doi.org/10.7910/DVN/6PFBO0"
"111","Ewers Lewis et al 2020","CEL KAL 3 Rep 3","Nyerimilang Park","KAL 3 Rep 3","Tidal marsh",-37.870617,147.939183,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",17.53,0.31,169.9,175.27,NA,9.95,"https://doi.org/10.7910/DVN/6PFBO0"
"112","Ewers Lewis et al 2020","CEL KAL 1 Rep 1","Nyerimilang Park","KAL 1 Rep 1","Tidal marsh",-37.8718,147.938983,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",26.52,0.14,259,265.25,NA,17.35,"https://doi.org/10.7910/DVN/6PFBO0"
"113","Ewers Lewis et al 2020","CEL KAL 1 Rep 1","Nyerimilang Park","KAL 1 Rep 1","Tidal marsh",-37.8718,147.938983,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",10.94,0.33,102.63,109.35,NA,8.04,"https://doi.org/10.7910/DVN/6PFBO0"
"114","Ewers Lewis et al 2020","CEL KAL 1 Rep 1","Nyerimilang Park","KAL 1 Rep 1","Tidal marsh",-37.8718,147.938983,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",24.09,0.27,234.25,240.9,NA,14.1,"https://doi.org/10.7910/DVN/6PFBO0"
"115","Ewers Lewis et al 2020","CEL KAL 2 Rep 2","Nyerimilang Park","KAL 2 Rep 2","Tidal marsh",-37.871183,147.938933,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",26.52,0.16,265.15,265.19,NA,16.54,"https://doi.org/10.7910/DVN/6PFBO0"
"116","Ewers Lewis et al 2020","CEL KAL 2 Rep 2","Nyerimilang Park","KAL 2 Rep 2","Tidal marsh",-37.871183,147.938933,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",15.09,0.32,143.99,150.9,NA,9.83,"https://doi.org/10.7910/DVN/6PFBO0"
"117","Ewers Lewis et al 2020","CEL KAL 2 Rep 2","Nyerimilang Park","KAL 2 Rep 2","Tidal marsh",-37.871183,147.938933,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",20.98,0.27,201.9,209.82,NA,12.12,"https://doi.org/10.7910/DVN/6PFBO0"
"118","Ewers Lewis et al 2020","CEL LAK 4 Rep 1","LAK","LAK 4 Rep 1","Tidal marsh",-37.875833,148.0101,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",2.48,0.64,27.23,24.76,NA,2.1,"https://doi.org/10.7910/DVN/6PFBO0"
"119","Ewers Lewis et al 2020","CEL LAK 4 Rep 1","LAK","LAK 4 Rep 1","Tidal marsh",-37.875833,148.0101,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.58,1.59,5.52,5.81,NA,0.67,"https://doi.org/10.7910/DVN/6PFBO0"
"120","Ewers Lewis et al 2020","CEL LAK 4 Rep 1","LAK","LAK 4 Rep 1","Tidal marsh",-37.875833,148.0101,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.04,2.05,0.1,0.45,NA,0.09,"https://doi.org/10.7910/DVN/6PFBO0"
"121","Ewers Lewis et al 2020","CEL LAK 6 Rep 3","LAK","LAK 6 Rep 3","Tidal marsh",-37.87555,148.010467,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",4.77,0.47,49.78,47.69,NA,4.44,"https://doi.org/10.7910/DVN/6PFBO0"
"122","Ewers Lewis et al 2020","CEL LAK 6 Rep 3","LAK","LAK 6 Rep 3","Tidal marsh",-37.87555,148.010467,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",1.08,1.22,10.95,10.8,NA,1.08,"https://doi.org/10.7910/DVN/6PFBO0"
"123","Ewers Lewis et al 2020","CEL LAK 6 Rep 3","LAK","LAK 6 Rep 3","Tidal marsh",-37.87555,148.010467,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.12,1.57,0.65,1.17,NA,0.14,"https://doi.org/10.7910/DVN/6PFBO0"
"124","Ewers Lewis et al 2020","CEL LAK 5 Rep 2","LAK","LAK 5 Rep 2","Tidal marsh",-37.875817,148.010217,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",0.46,1.21,4.19,4.57,NA,0.48,"https://doi.org/10.7910/DVN/6PFBO0"
"125","Ewers Lewis et al 2020","CEL LAK 5 Rep 2","LAK","LAK 5 Rep 2","Tidal marsh",-37.875817,148.010217,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.41,1.71,3.39,4.07,NA,0.5,"https://doi.org/10.7910/DVN/6PFBO0"
"126","Ewers Lewis et al 2020","CEL LAK 5 Rep 2","LAK","LAK 5 Rep 2","Tidal marsh",-37.875817,148.010217,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.07,1.28,0.24,0.67,NA,0.1,"https://doi.org/10.7910/DVN/6PFBO0"
"127","Ewers Lewis et al 2020","CEL LANG 1 Rep 1","North Western Port Nature Conservation Reserve","LANG 1 Rep 1","Tidal marsh",-38.260683,145.494967,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",3.68,0.92,37.07,36.85,NA,3.07,"https://doi.org/10.7910/DVN/6PFBO0"
"128","Ewers Lewis et al 2020","CEL LANG 1 Rep 1","North Western Port Nature Conservation Reserve","LANG 1 Rep 1","Tidal marsh",-38.260683,145.494967,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",4.04,0.93,37.27,40.38,NA,3.42,"https://doi.org/10.7910/DVN/6PFBO0"
"129","Ewers Lewis et al 2020","CEL LANG 1 Rep 1","North Western Port Nature Conservation Reserve","LANG 1 Rep 1","Tidal marsh",-38.260683,145.494967,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",3.69,0.95,34.61,36.93,NA,3.15,"https://doi.org/10.7910/DVN/6PFBO0"
"130","Ewers Lewis et al 2020","CEL LANG 2 Rep 2","North Western Port Nature Conservation Reserve","LANG 2 Rep 2","Tidal marsh",-38.260933,145.49505,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",4.02,0.9,38.52,40.22,NA,3.35,"https://doi.org/10.7910/DVN/6PFBO0"
"131","Ewers Lewis et al 2020","CEL LANG 2 Rep 2","North Western Port Nature Conservation Reserve","LANG 2 Rep 2","Tidal marsh",-38.260933,145.49505,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",3.16,0.92,29.29,31.56,NA,2.78,"https://doi.org/10.7910/DVN/6PFBO0"
"132","Ewers Lewis et al 2020","CEL LANG 2 Rep 2","North Western Port Nature Conservation Reserve","LANG 2 Rep 2","Tidal marsh",-38.260933,145.49505,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",3.24,1.09,30.2,32.44,NA,2.83,"https://doi.org/10.7910/DVN/6PFBO0"
"133","Ewers Lewis et al 2020","CEL LC 2 Rep 2","Lake Coleman Wildlife Reserve","LC 2 Rep 2","Tidal marsh",-38.182733,147.306483,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",20.42,0.26,209.69,204.16,NA,10.11,"https://doi.org/10.7910/DVN/6PFBO0"
"134","Ewers Lewis et al 2020","CEL LC 2 Rep 2","Lake Coleman Wildlife Reserve","LC 2 Rep 2","Tidal marsh",-38.182733,147.306483,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",16.84,0.69,169.28,168.39,NA,7.5,"https://doi.org/10.7910/DVN/6PFBO0"
"135","Ewers Lewis et al 2020","CEL LC 2 Rep 2","Lake Coleman Wildlife Reserve","LC 2 Rep 2","Tidal marsh",-38.182733,147.306483,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",17.16,0.6,166.71,171.57,NA,6.7,"https://doi.org/10.7910/DVN/6PFBO0"
"136","Ewers Lewis et al 2020","CEL LC 1 Rep 1","Lake Coleman Wildlife Reserve","LC 1 Rep 1","Tidal marsh",-38.182267,147.306217,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",20.11,0.4,197.41,201.05,NA,12.25,"https://doi.org/10.7910/DVN/6PFBO0"
"137","Ewers Lewis et al 2020","CEL LC 1 Rep 1","Lake Coleman Wildlife Reserve","LC 1 Rep 1","Tidal marsh",-38.182267,147.306217,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",5.41,0.72,55.41,54.1,NA,4.55,"https://doi.org/10.7910/DVN/6PFBO0"
"138","Ewers Lewis et al 2020","CEL LC 1 Rep 1","Lake Coleman Wildlife Reserve","LC 1 Rep 1","Tidal marsh",-38.182267,147.306217,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.28,1.78,2.21,2.82,NA,0.27,"https://doi.org/10.7910/DVN/6PFBO0"
"139","Ewers Lewis et al 2020","CEL LC 3 Rep 3","Lake Coleman Wildlife Reserve","LC 3 Rep 3","Tidal marsh",-38.18255,147.306983,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",17.13,0.6,162.88,171.26,NA,8.91,"https://doi.org/10.7910/DVN/6PFBO0"
"140","Ewers Lewis et al 2020","CEL LC 3 Rep 3","Lake Coleman Wildlife Reserve","LC 3 Rep 3","Tidal marsh",-38.18255,147.306983,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",9.16,1.02,83.26,91.62,NA,3.29,"https://doi.org/10.7910/DVN/6PFBO0"
"141","Ewers Lewis et al 2020","CEL LC 3 Rep 3","Lake Coleman Wildlife Reserve","LC 3 Rep 3","Tidal marsh",-38.18255,147.306983,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.41,2.22,2.53,4.13,NA,0.34,"https://doi.org/10.7910/DVN/6PFBO0"
"142","Ewers Lewis et al 2020","CEL LIM 7 Rep 1","Limeburners Lagoon Reserve","LIM 7 Rep 1","Tidal marsh",-38.052767,144.411,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",1.93,0.31,22.86,19.25,NA,2.1,"https://doi.org/10.7910/DVN/6PFBO0"
"143","Ewers Lewis et al 2020","CEL LIM 7 Rep 1","Limeburners Lagoon Reserve","LIM 7 Rep 1","Tidal marsh",-38.052767,144.411,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",14.7,0.99,150.23,146.96,NA,11,"https://doi.org/10.7910/DVN/6PFBO0"
"144","Ewers Lewis et al 2020","CEL LIM 7 Rep 1","Limeburners Lagoon Reserve","LIM 7 Rep 1","Tidal marsh",-38.052767,144.411,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",2.43,0.67,31.42,24.31,NA,2.64,"https://doi.org/10.7910/DVN/6PFBO0"
"145","Ewers Lewis et al 2020","CEL LIM 8 Rep 2","Limeburners Lagoon Reserve","LIM 8 Rep 2","Tidal marsh",-38.055283,144.411283,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",2.65,0.93,31.34,26.54,NA,2.55,"https://doi.org/10.7910/DVN/6PFBO0"
"146","Ewers Lewis et al 2020","CEL LIM 8 Rep 2","Limeburners Lagoon Reserve","LIM 8 Rep 2","Tidal marsh",-38.055283,144.411283,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",2.1,1.2,24.91,20.99,NA,2.3,"https://doi.org/10.7910/DVN/6PFBO0"
"147","Ewers Lewis et al 2020","CEL LIM 8 Rep 2","Limeburners Lagoon Reserve","LIM 8 Rep 2","Tidal marsh",-38.055283,144.411283,"direct from dataset","1","Australia",2014,0.28,0.3,"MIR predicted",0.4,1.44,19.34,4.05,12.32,0.76,"https://doi.org/10.7910/DVN/6PFBO0"
"148","Ewers Lewis et al 2020","CEL LIM 9 Rep 3","Limeburners Lagoon Reserve","LIM 9 Rep 3","Tidal marsh",-38.056083,144.412,"direct from dataset","1","Australia",2014,0,0.02,"MIR predicted",4.91,0.86,59.57,49.06,15.2,4.97,"https://doi.org/10.7910/DVN/6PFBO0"
"149","Ewers Lewis et al 2020","CEL LIM 9 Rep 3","Limeburners Lagoon Reserve","LIM 9 Rep 3","Tidal marsh",-38.056083,144.412,"direct from dataset","1","Australia",2014,0.14,0.16,"MIR predicted",0.43,0.25,4.32,4.33,NA,0.67,"https://doi.org/10.7910/DVN/6PFBO0"
