"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"1","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0,0.03,"EA",2.1840506,8.10166799,1.025630624,"unpublished"
"2","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.05636788,0.08,"EA",2.3746124,4.673998429,1.017106822,"unpublished"
"3","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.110614383,0.14,"EA",2.2376362,7.360308285,0.984906867,"unpublished"
"4","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.188220445,0.21,"EA",2.3730783,6.01387818,1.064590454,"unpublished"
"5","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.286118599,0.31,"EA",2.6256038,5.527244218,0.914381879,"unpublished"
"6","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.401904512,0.42,"EA",1.22661,5.114296784,1.097048011,"unpublished"
"7","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.534273834,0.56,"EA",1.2834997,3.814713896,1.543038635,"unpublished"
"8","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.724728255,0.75,"EA",0.3925245,1.314263626,1.808795655,"unpublished"
"9","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,0.766211914,0.79,"EA",0.2472745,0.655611261,1.916819218,"unpublished"
"10","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,1.09247713,1.11,"EA",0.0405333,NA,1.854879786,"unpublished"
"11","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,1.153003497,1.17,"EA",0.1856562,0.854368932,1.972845762,"unpublished"
"12","Pagès et al (in preparation)","JFP DYFIW2A","Dyfi estuary","DYFIW2A","Saltmarsh",52.52370238,-4.03783766,"direct from dataset",1,"UK","Wales",2017,1.193291874,1.21,"EA",0.0778547,0.194174757,1.97730393,"unpublished"
"13","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,0.034009086,0.06603958,"EA",2.0035335,4.938271605,0.730508224,"unpublished"
"14","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,0.097078691,0.127208116,"EA",2.5118653,5.693950178,0.69839719,"unpublished"
"15","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,0.185031583,0.212857528,"EA",1.6282936,4.268529298,0.811058051,"unpublished"
"16","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,0.266627854,0.292674142,"EA",1.9077225,4.972592013,0.761950833,"unpublished"
"17","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,0.367984363,0.392270751,"EA",2.0678979,5.500982318,0.721122096,"unpublished"
"18","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,0.46312461,0.486163355,"EA",1.969357,5.175159236,0.88414115,"unpublished"
"19","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,0.576012224,0.597988955,"EA",0.63878405,2.704094871,1.463118499,"unpublished"
"20","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,0.726861532,0.747944218,"EA",0.1696252,1.035856574,1.927146601,"unpublished"
"21","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,0.872803863,0.893396866,"EA",0.2153403,0.899139953,1.960875535,"unpublished"
"22","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,0.913941002,0.934440299,"EA",0.0888405,0.42503864,1.495401219,"unpublished"
"23","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,1.097205804,1.117436062,"EA",0.0730366,0.517104216,1.969267936,"unpublished"
"24","Pagès et al (in preparation)","JFP DYFIW6A","Dyfi estuary","DYFIW6A","Saltmarsh",52.52463905,-4.037516057,"direct from dataset",1,"UK","Wales",2017,1.258595692,1.278711415,"EA",0.0534433,0.50623053,1.654816814,"unpublished"
"25","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,0.031584433,0.061970525,"EA",0.1105655,0.738150738,1.345955429,"unpublished"
"26","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,0.203316764,0.22982109,"EA",0.0683865,0.787091696,1.619918634,"unpublished"
"27","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,0.331310519,0.355714318,"EA",0.1878019,1.183898974,1.837887992,"unpublished"
"28","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,0.379787675,0.403555386,"EA",1.187944,3.695060288,1.232228916,"unpublished"
"29","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,0.473245506,0.4960034,"EA",0.6218336,2.691107644,1.389374161,"unpublished"
"30","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,0.540913897,0.563096389,"EA",0.1935171,1.378782076,1.732782433,"unpublished"
"31","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,0.671784725,0.693151519,"EA",0.1639348,1.513975155,1.925685963,"unpublished"
"32","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,0.819448579,0.840240311,"EA",0.2528527,NA,1.985433723,"unpublished"
"33","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,0.860972635,0.881650009,"EA",0.4274407,1.083172147,2.068933992,"unpublished"
"34","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,1.065861802,1.086172314,"EA",0.1619736,0.964506173,2.165585445,"unpublished"
"35","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,1.106459526,1.126725188,"EA",0.1034579,0.552050473,2.239477939,"unpublished"
"36","Pagès et al (in preparation)","JFP DYFIW7A","Dyfi estuary","DYFIW7A","Saltmarsh",52.52585409,-4.038168944,"direct from dataset",1,"UK","Wales",2017,1.308377026,1.328498806,"EA",0.0764358,0.270165959,2.197864421,"unpublished"
"37","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.049514196,0.073716091,"EA",0.0485748,0.826657638,1.701489075,"unpublished"
"38","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.121264453,0.144650067,"EA",0.0555935,0.633914422,1.660180826,"unpublished"
"39","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.235998362,0.258360426,"EA",0.0673181,0.741029641,1.471678792,"unpublished"
"40","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.258360426,0.280558399,"EA",0.5905977,2.510621862,1.832057997,"unpublished"
"41","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.367925818,0.389459292,"EA",0.7018756,2.409162717,1.390303191,"unpublished"
"42","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.453449626,0.474599366,"EA",0.3051251,1.906274821,1.621331685,"unpublished"
"43","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.558453196,0.579255342,"EA",0.1568535,1.089494163,1.920832293,"unpublished"
"44","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.661944068,0.682503707,"EA",0.1783977,1.149881047,1.733878298,"unpublished"
"45","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.682503707,0.703024467,"EA",0.0723745,1.067615658,1.685489819,"unpublished"
"46","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.743959972,0.764379567,"EA",0.2306624,1.360279829,1.663160768,"unpublished"
"47","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,0.805133336,0.825471419,"EA",0.3673063,2.472952087,1.589367742,"unpublished"
"48","Pagès et al (in preparation)","JFP DYFIW12A","Dyfi estuary","DYFIW12A","Saltmarsh",52.52562476,-4.043852095,"direct from dataset",1,"UK","Wales",2017,1.108347303,1.128462114,"EA",0.7157726,2.19210841,1.629865364,"unpublished"
"49","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0,0.024720156,"EA",5.0019121,12.37274863,0.448459164,"unpublished"
"50","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0.049255089,0.073474983,"EA",4.252928,11.07212476,0.653616891,"unpublished"
"51","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0.121055681,0.144455799,"EA",4.6225154,11.33980583,0.764317027,"unpublished"
"52","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0.167619713,0.190563834,"EA",2.771815,5.928237129,1.151145067,"unpublished"
"53","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0.235852707,0.258224889,"EA",NA,0.88,1.410477406,"unpublished"
"54","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0.258224889,0.280432277,"EA",1.7961756,6.073500967,1.650550578,"unpublished"
"55","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0.302486321,0.324397671,"EA",0.1851496,0.941176471,1.681075393,"unpublished"
"56","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0.367831257,0.3893713,"EA",0.8721679,1.123160341,1.783427674,"unpublished"
"57","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0.558403732,0.579209314,"EA",0.1057327,0.742767787,1.782199241,"unpublished"
"58","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0.743934098,0.76435549,"EA",0.044986,0.588004704,2.089361852,"unpublished"
"59","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,0.886335531,0.906590099,"EA",NA,0.66045066,1.720212528,"unpublished"
"60","Pagès et al (in preparation)","JFP HARLECH3A","Glaslyn-Dwyryd estuary","HARLECH3A","Saltmarsh",52.89633261,-4.117269514,"direct from dataset",1,"UK","Wales",2017,1.06808315,1.088216312,"EA",0.8244494,0.861393892,1.775547184,"unpublished"
"61","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,0.030694797,0.060874742,"EA",1.39909965,4.496410652,0.760288025,"unpublished"
"62","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,0.09025324,0.118893388,"EA",2.1442071,5.1171875,0.816549921,"unpublished"
"63","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,0.17418657,0.200942493,"EA",1.282854,5.27962456,0.862391315,"unpublished"
"64","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,0.278183178,0.303049895,"EA",2.1968611,6.387225549,0.994658179,"unpublished"
"65","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,0.422205049,0.445180571,"EA",0.9706747,2.90247678,1.358137484,"unpublished"
"66","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,0.467921837,0.490447288,"EA",0.2658268,1.899961225,1.555033213,"unpublished"
"67","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,0.512773915,0.534917371,"EA",0.7195245,3.090766823,1.482289387,"unpublished"
"68","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,0.600387335,0.621931402,"EA",0.8140075,1.65811291,1.567010808,"unpublished"
"69","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,0.811361962,0.832042017,"EA",NA,0,1.882995999,"unpublished"
"70","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,1.077025204,1.097259404,"EA",1.2669578,3.76984127,1.474559133,"unpublished"
"71","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,1.117475165,1.137673941,"EA",0.4047887,1.884615385,1.918642125,"unpublished"
"72","Pagès et al (in preparation)","JFP HARLECH5A","Glaslyn-Dwyryd estuary","HARLECH5A","Saltmarsh",52.89751464,-4.11913893,"direct from dataset",1,"UK","Wales",2017,1.23845631,1.258577842,"EA",0.1375555,0.94637224,1.701437769,"unpublished"
"73","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,0,0.024262896,"EA",0.5036777,2.642998028,1.025600558,"unpublished"
"74","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,0.048461468,0.072391881,"EA",0.4694333,2.061454687,1.160721799,"unpublished"
"75","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,0.096071262,0.119515644,"EA",0.4041758,2.237654321,1.241402834,"unpublished"
"76","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,0.142740036,0.165758489,"EA",0.1379174,1.059654631,1.167155385,"unpublished"
"77","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,0.300225167,0.32212686,"EA",0.1066858,0.981932443,1.663768511,"unpublished"
"78","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,0.680923728,0.701503422,"EA",NA,0,1.997593803,"unpublished"
"79","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,0.946151577,0.966397372,"EA",0.08721695,0.856987198,2.044470617,"unpublished"
"80","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,1.027044513,1.047233277,"EA",0.1994894,1.789187087,1.732009516,"unpublished"
"81","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,1.107730264,1.12787523,"EA",0.1008725,0.890782339,1.852882468,"unpublished"
"82","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,1.148010937,1.168137977,"EA",0.1833245,1.19379228,1.770794669,"unpublished"
"83","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,1.168137977,1.188256903,"EA",0.4412012,2.1484375,1.629435375,"unpublished"
"84","Pagès et al (in preparation)","JFP HARLECH9A","Glaslyn-Dwyryd estuary","HARLECH9A","Saltmarsh",52.89845047,-4.116736663,"direct from dataset",1,"UK","Wales",2017,1.248570016,1.268661347,"EA",0.1068745,0.825471698,1.966905419,"unpublished"
