"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3","DOI"
"1","Ruranska et al 2022","PR Alnmouth 1","Alnmouth","Alnmouth 1","Salt marsh","Not Sandy",55.38815,-1.6187475,"direct from dataset","1","UK",2019,0,0.1,"EA",7.53,11.53,0.65,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"2","Ruranska et al 2022","PR Alnmouth 2","Alnmouth","Alnmouth 2","Salt marsh","Not Sandy",55.3896,-1.617476944,"direct from dataset","1","UK",2019,0,0.1,"EA",11,18.73,0.47,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"3","Ruranska et al 2022","PR Breydon Bridge 1","Breydon Bridge","Breydon Bridge 1","Salt marsh","Not Sandy",52.58839,1.643605556,"direct from dataset","1","UK",2019,0,0.1,"EA",9.26,17.81,0.47,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"4","Ruranska et al 2022","PR Breydon Bridge 2","Breydon Bridge","Breydon Bridge 2","Salt marsh","Not Sandy",52.58846,1.643563889,"direct from dataset","1","UK",2019,0,0.1,"EA",9.17,20.83,0.39,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"5","Ruranska et al 2022","PR Breydon Bridge 3","Breydon Bridge","Breydon Bridge 3","Salt marsh","Not Sandy",52.58857,1.643583333,"direct from dataset","1","UK",2019,0,0.1,"EA",12.52,28.22,0.36,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"6","Ruranska et al 2022","PR Breydon Bridge 4","Breydon Bridge","Breydon Bridge 4","Salt marsh","Not Sandy",52.58862,1.643527778,"direct from dataset","1","UK",2019,0,0.1,"EA",13.52,34.55,0.29,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"7","Ruranska et al 2022","PR Breydon Bridge 5","Breydon Bridge","Breydon Bridge 5","Salt marsh","Organic",52.58873,1.643422222,"direct from dataset","1","UK",2019,0,0.1,"EA",11,41.91,0.31,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"8","Ruranska et al 2022","PR Brunton Burn 1","Brunton Burn","Brunton Burn 1","Salt marsh","Sandy ",55.53769,-1.640111111,"direct from dataset","1","UK",2019,0,0.1,"EA",5.79,2.5,1.26,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"9","Ruranska et al 2022","PR Brunton Burn 2","Brunton Burn","Brunton Burn 2","Salt marsh","Sandy ",55.53754,-1.640733333,"direct from dataset","1","UK",2019,0,0.1,"EA",2.41,2.77,1.23,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"10","Ruranska et al 2022","PR Brunton Burn 3","Brunton Burn","Brunton Burn 3","Salt marsh","Sandy ",55.53775,-1.639573611,"direct from dataset","1","UK",2019,0,0.1,"EA",6.78,2.78,1.26,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"11","Ruranska et al 2022","PR Brunton Burn 4","Brunton Burn","Brunton Burn 4","Salt marsh","Sandy ",55.53773,-1.639615833,"direct from dataset","1","UK",2019,0,0.1,"EA",4.38,3.59,1.14,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"12","Ruranska et al 2022","PR Brunton Burn 5","Brunton Burn","Brunton Burn 5","Salt marsh","Sandy ",55.53758,-1.639398611,"direct from dataset","1","UK",2019,0,0.1,"EA",8.68,5.16,1.28,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"13","Ruranska et al 2022","PR Burgh (Solway) 1","Burgh (Solway)","Burgh (Solway) 1","Salt marsh","Not Sandy",54.923122,-3.0853725,"direct from dataset","1","UK",2019,0,0.1,"EA",10.53,19.53,0.73,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"14","Ruranska et al 2022","PR Burgh (Solway) 2","Burgh (Solway)","Burgh (Solway) 2","Salt marsh","Not Sandy",54.925459,-3.0863717,"direct from dataset","1","UK",2019,0,0.1,"EA",26.15,42.25,0.42,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"15","Ruranska et al 2022","PR Burgh (Solway) 3","Burgh (Solway)","Burgh (Solway) 3","Salt marsh","Not Sandy",54.927685,-3.0907387,"direct from dataset","1","UK",2019,0,0.1,"EA",16.33,31.83,0.45,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"16","Ruranska et al 2022","PR Burgh (Solway) 4","Burgh (Solway)","Burgh (Solway) 4","Salt marsh","Not Sandy",54.930157,-3.0906028,"direct from dataset","1","UK",2019,0,0.1,"EA",10.11,19.48,0.67,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"17","Ruranska et al 2022","PR Burgh (Solway) 5","Burgh (Solway)","Burgh (Solway) 5","Salt marsh","Sandy",54.932706,-3.0919828,"direct from dataset","1","UK",2019,0,0.1,"EA",2.21,3.65,1.17,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"18","Ruranska et al 2022","PR Butley Ferry 1","Butley Ferry","Butley Ferry 1","Salt marsh","Not Sandy",52.08013,1.489391667,"direct from dataset","1","UK",2019,0,0.1,"EA",2.38,8.65,0.89,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"19","Ruranska et al 2022","PR Butley Ferry 2","Butley Ferry","Butley Ferry 2","Salt marsh","Not Sandy",52.08013,1.489494444,"direct from dataset","1","UK",2019,0,0.1,"EA",4.86,12.61,0.63,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"20","Ruranska et al 2022","PR Butley Ferry 3","Butley Ferry","Butley Ferry 3","Salt marsh","Not Sandy",52.08013,1.489463889,"direct from dataset","1","UK",2019,0,0.1,"EA",3.21,13.76,0.54,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"21","Ruranska et al 2022","PR Butley Ferry 4","Butley Ferry","Butley Ferry 4","Salt marsh","Not Sandy",52.08013,1.489436111,"direct from dataset","1","UK",2019,0,0.1,"EA",3.66,14.43,0.57,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"22","Ruranska et al 2022","PR Butley Ferry 5","Butley Ferry","Butley Ferry 5","Salt marsh","Not Sandy",52.08012,1.489480556,"direct from dataset","1","UK",2019,0,0.1,"EA",5.58,15,0.58,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"23","Ruranska et al 2022","PR Clwyd 1","Clwyd","Clwyd 1","Salt marsh","Not Sandy",53.30462,-3.5001809,"direct from dataset","1","UK",2019,0,0.1,"EA",3.33,9.43,0.89,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"24","Ruranska et al 2022","PR Clwyd 2","Clwyd","Clwyd 2","Salt marsh","Not Sandy",53.30437,-3.5012228,"direct from dataset","1","UK",2019,0,0.1,"EA",4.79,10.54,0.65,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"25","Ruranska et al 2022","PR Clwyd 3","Clwyd","Clwyd 3","Salt marsh","Not Sandy",53.30421,-3.5019229,"direct from dataset","1","UK",2019,0,0.1,"EA",4.6,10.77,1.16,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"26","Ruranska et al 2022","PR Clwyd 4","Clwyd","Clwyd 4","Salt marsh","Not Sandy",53.30456,-3.5006364,"direct from dataset","1","UK",2019,0,0.1,"EA",3.96,10.82,0.89,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"27","Ruranska et al 2022","PR Clwyd 5","Clwyd","Clwyd 5","Salt marsh","Not Sandy",53.30428,-3.5016375,"direct from dataset","1","UK",2019,0,0.1,"EA",4.72,12.64,0.8,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"28","Ruranska et al 2022","PR Cockleshell Creek 1","Cockleshell Creek","Cockleshell Creek 1","Salt marsh","Not Sandy",51.36978,0.7980001,"direct from dataset","1","UK",2019,0,0.1,"EA",3.51,11.72,0.66,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"29","Ruranska et al 2022","PR Cockleshell Creek 2","Cockleshell Creek","Cockleshell Creek 2","Salt marsh","Not Sandy",51.37027,0.79848021,"direct from dataset","1","UK",2019,0,0.1,"EA",4.6,12.09,0.58,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"30","Ruranska et al 2022","PR Cockleshell Creek 3","Cockleshell Creek","Cockleshell Creek 3","Salt marsh","Not Sandy",51.36936,0.79787135,"direct from dataset","1","UK",2019,0,0.1,"EA",5.33,15.16,0.57,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"31","Ruranska et al 2022","PR Cockleshell Creek 4","Cockleshell Creek","Cockleshell Creek 4","Salt marsh","Not Sandy",51.37047,0.79854459,"direct from dataset","1","UK",2019,0,0.1,"EA",11.05,23.34,0.35,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"32","Ruranska et al 2022","PR Crossens 1","Crossens","Crossens 1","Salt marsh","Sandy ",53.67916,-2.999677,"direct from dataset","1","UK",2019,0,0.1,"EA",2.67,2.25,1.24,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"33","Ruranska et al 2022","PR Crossens 2","Crossens","Crossens 2","Salt marsh","Sandy ",53.67898,-2.997352972,"direct from dataset","1","UK",2019,0,0.1,"EA",2.55,6.45,0.84,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"34","Ruranska et al 2022","PR Crossens 3","Crossens","Crossens 3","Salt marsh","Not Sandy",53.6786,-2.992732,"direct from dataset","1","UK",2019,0,0.1,"EA",7.19,8.1,0.79,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"35","Ruranska et al 2022","PR Crossens 4","Crossens","Crossens 4","Salt marsh","Not Sandy",53.67817,-2.990873,"direct from dataset","1","UK",2019,0,0.1,"EA",10.67,8.53,0.72,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"36","Ruranska et al 2022","PR Cuckmere 1","Cuckmere","Cuckmere 1","Salt marsh","Sandy ",50.76645,0.14946888,"direct from dataset","1","UK",2019,0,0.1,"EA",4.52,4.06,0.97,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"37","Ruranska et al 2022","PR Cuckmere 2","Cuckmere","Cuckmere 2","Salt marsh","Sandy ",50.76644,0.14966684,"direct from dataset","1","UK",2019,0,0.1,"EA",10.36,5.36,0.98,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"38","Ruranska et al 2022","PR Cuckmere 3","Cuckmere","Cuckmere 3","Salt marsh","Sandy ",50.76644,0.14925592,"direct from dataset","1","UK",2019,0,0.1,"EA",7.07,5.43,0.94,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"39","Ruranska et al 2022","PR Cuckmere 4","Cuckmere","Cuckmere 4","Salt marsh","Not Sandy",50.76645,0.14908588,"direct from dataset","1","UK",2019,0,0.1,"EA",11.64,9.95,0.83,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"40","Ruranska et al 2022","PR Cuckmere 5","Cuckmere","Cuckmere 5","Salt marsh","Not Sandy",50.76648,0.14887457,"direct from dataset","1","UK",2019,0,0.1,"EA",10.07,14.42,0.95,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"41","Ruranska et al 2022","PR Dingle Little Hill 1","Dingle Little Hill","Dingle Little Hill 1","Salt marsh","Sandy ",52.30183,1.6501078,"direct from dataset","1","UK",2019,0,0.1,"EA",5.77,2.27,1.51,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"42","Ruranska et al 2022","PR Dingle Little Hill 2","Dingle Little Hill","Dingle Little Hill 2","Salt marsh","Sandy ",52.30319,1.6484586,"direct from dataset","1","UK",2019,0,0.1,"EA",4.27,4.65,1.38,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"43","Ruranska et al 2022","PR Dingle Little Hill 3","Dingle Little Hill","Dingle Little Hill 3","Salt marsh","Not Sandy",52.30256,1.6491994,"direct from dataset","1","UK",2019,0,0.1,"EA",8.16,15.96,0.6,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"44","Ruranska et al 2022","PR Dingle Little Hill 4","Dingle Little Hill","Dingle Little Hill 4","Salt marsh","Not Sandy",52.30204,1.6499045,"direct from dataset","1","UK",2019,0,0.1,"EA",7.16,18.31,0.4,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"45","Ruranska et al 2022","PR Dingle Little Hill 5","Dingle Little Hill","Dingle Little Hill 5","Salt marsh","Not Sandy",52.30235,1.6495483,"direct from dataset","1","UK",2019,0,0.1,"EA",7.51,21.63,0.55,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"46","Ruranska et al 2022","PR Erth 1","Erth","Erth 1","Salt marsh","Not Sandy",50.39057,-4.2899884,"direct from dataset","1","UK",2019,0,0.1,"EA",3.51,11.83,0.53,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"47","Ruranska et al 2022","PR Fenham Mill 1","Fenham Mill","Fenham Mill 1","Salt marsh","Not Sandy",55.66019,-1.860683056,"direct from dataset","1","UK",2019,0,0.1,"EA",6.07,12.34,0.59,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"48","Ruranska et al 2022","PR Fenham Mill 2","Fenham Mill","Fenham Mill 2","Salt marsh","Not Sandy",55.66001,-1.8608308,"direct from dataset","1","UK",2019,0,0.1,"EA",7.76,12.65,0.68,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"49","Ruranska et al 2022","PR Fenham Mill 3","Fenham Mill","Fenham Mill 3","Salt marsh","Not Sandy",55.66024,-1.860103333,"direct from dataset","1","UK",2019,0,0.1,"EA",6.08,14.14,0.49,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"50","Ruranska et al 2022","PR Fenham Mill 4","Fenham Mill","Fenham Mill 4","Salt marsh","Not Sandy",55.66011,-1.860395278,"direct from dataset","1","UK",2019,0,0.1,"EA",6.81,15.4,1,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"51","Ruranska et al 2022","PR Fenham Mill 5","Fenham Mill","Fenham Mill 5","Salt marsh","Not Sandy",55.66017,-1.860256667,"direct from dataset","1","UK",2019,0,0.1,"EA",5.95,16.12,0.43,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"52","Ruranska et al 2022","PR Gannel 1","Gannel","Gannel 1","Salt marsh","Sandy ",50.40563333,-5.084263889,"direct from dataset","1","UK",2019,0,0.1,"EA",2.78,6.76,1.04,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"53","Ruranska et al 2022","PR Gannel 2","Gannel","Gannel 2","Salt marsh","Sandy ",50.40508667,-5.087716667,"direct from dataset","1","UK",2019,0,0.1,"EA",2.9,7.53,0.86,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"54","Ruranska et al 2022","PR Gannel 3","Gannel","Gannel 3","Salt marsh","Not Sandy",50.40561333,-5.084338889,"direct from dataset","1","UK",2019,0,0.1,"EA",6.43,13.48,0.72,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"55","Ruranska et al 2022","PR Gannel 4","Gannel","Gannel 4","Salt marsh","Not Sandy",50.40518667,-5.084433333,"direct from dataset","1","UK",2019,0,0.1,"EA",10.48,14.83,0.64,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"56","Ruranska et al 2022","PR Gannel 5","Gannel","Gannel 5","Salt marsh","Not Sandy",50.40490833,-5.083933333,"direct from dataset","1","UK",2019,0,0.1,"EA",14.89,29.14,0.44,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"57","Ruranska et al 2022","PR Gayton Colt 1","Gayton Colt","Gayton Colt 1","Salt marsh","Not Sandy",53.30362,-3.093933333,"direct from dataset","1","UK",2019,0,0.1,"EA",8.21,11.62,0.79,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"58","Ruranska et al 2022","PR Gayton Colt 2","Gayton Colt","Gayton Colt 2","Salt marsh","Not Sandy",53.30285,-3.095625,"direct from dataset","1","UK",2019,0,0.1,"EA",7.45,23.95,0.35,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"59","Ruranska et al 2022","PR Gayton Colt 3","Gayton Colt","Gayton Colt 3","Salt marsh","Not Sandy",53.3027,-3.096288889,"direct from dataset","1","UK",2019,0,0.1,"EA",15.45,34.13,0.18,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"60","Ruranska et al 2022","PR Gayton Colt 4","Gayton Colt","Gayton Colt 4","Salt marsh","Not Sandy",53.3024,-3.096886111,"direct from dataset","1","UK",2019,0,0.1,"EA",16.38,34.79,0.19,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"61","Ruranska et al 2022","PR Gedney Drove End 1","Gedney Drove End","Gedney Drove End 1","Salt marsh","Sandy ",52.84062,0.201116667,"direct from dataset","1","UK",2019,0,0.1,"EA",2.43,5.65,1.01,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"62","Ruranska et al 2022","PR Gedney Drove End 2","Gedney Drove End","Gedney Drove End 2","Salt marsh","Sandy ",52.82837,0.348488889,"direct from dataset","1","UK",2019,0,0.1,"EA",3.66,7.23,0.81,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"63","Ruranska et al 2022","PR Gedney Drove End 3","Gedney Drove End","Gedney Drove End 3","Salt marsh","Sandy ",52.83822,0.199177778,"direct from dataset","1","UK",2019,0,0.1,"EA",4.05,7.25,0.88,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"64","Ruranska et al 2022","PR Gedney Drove End 4","Gedney Drove End","Gedney Drove End 4","Salt marsh","Not Sandy",52.86366,0.304666667,"direct from dataset","1","UK",2019,0,0.1,"EA",5.23,8.26,0.87,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"65","Ruranska et al 2022","PR Gedney Drove End 5","Gedney Drove End","Gedney Drove End 5","Salt marsh","Not Sandy",52.84055,0.199808333,"direct from dataset","1","UK",2019,0,0.1,"EA",5.77,10.37,0.82,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"66","Ruranska et al 2022","PR Goldhanger 1","Goldhanger","Goldhanger 1","Salt marsh","Not Sandy",51.73232,0.74553078,"direct from dataset","1","UK",2019,0,0.1,"EA",7.09,17.85,0.63,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"67","Ruranska et al 2022","PR Goldhanger 2","Goldhanger","Goldhanger 2","Salt marsh","Not Sandy",51.73247,0.74644509,"direct from dataset","1","UK",2019,0,0.1,"EA",7.2,18.46,0.62,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"68","Ruranska et al 2022","PR Goldhanger 3","Goldhanger","Goldhanger 3","Salt marsh","Not Sandy",51.73303,0.74907982,"direct from dataset","1","UK",2019,0,0.1,"EA",7.73,19.92,0.41,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
"69","Ruranska et al 2022","PR Goldhanger 4","Goldhanger","Goldhanger 4","Salt marsh","Not Sandy",51.73279,0.74841002,"direct from dataset","1","UK",2019,0,0.1,"EA",8.4,20.76,0.49,"https://doi.org/10.5285/e5554b83-910f-4030-8f4e-81967dc7047c"
