"","Core","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","Conv_factor","BD_reported_g_cm3","DOI"
"1","Sp1a","Santos et al 2019","RS Sp1a","Ria Formosa","Saltmarsh",36.983,-7.888,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",1.564,7.09,NA,0.8,"https://doi.org/10.1038/s41598-018-37031-6"
"2","Sp1b","Santos et al 2019","RS Sp1b","Ria Formosa","Saltmarsh",36.983,-7.888,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.22,7.98,NA,0.802,"https://doi.org/10.1038/s41598-018-37031-6"
"3","Sp1c","Santos et al 2019","RS Sp1c","Ria Formosa","Saltmarsh",36.983,-7.888,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",1.197,6.01,NA,0.91,"https://doi.org/10.1038/s41598-018-37031-6"
"4","Sp1d","Santos et al 2019","RS Sp1d","Ria Formosa","Saltmarsh",36.983,-7.888,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",3.627,10.65,NA,0.624,"https://doi.org/10.1038/s41598-018-37031-6"
"5","Sp2a","Santos et al 2019","RS Sp2a","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.943,11.92,NA,0.564,"https://doi.org/10.1038/s41598-018-37031-6"
"6","Sp2b","Santos et al 2019","RS Sp2b","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.426,9.94,NA,0.636,"https://doi.org/10.1038/s41598-018-37031-6"
"7","Sp2c","Santos et al 2019","RS Sp2c","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.106,9.63,NA,0.615,"https://doi.org/10.1038/s41598-018-37031-6"
"8","Sp2d","Santos et al 2019","RS Sp2d","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.333,10.32,NA,0.689,"https://doi.org/10.1038/s41598-018-37031-6"
"9","Sp3a","Santos et al 2019","RS Sp3a","Ria Formosa","Saltmarsh",36.999,-7.879,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.671,10.31,NA,0.58,"https://doi.org/10.1038/s41598-018-37031-6"
"10","Sp3b","Santos et al 2019","RS Sp3b","Ria Formosa","Saltmarsh",36.999,-7.879,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.575,10.49,NA,0.648,"https://doi.org/10.1038/s41598-018-37031-6"
"11","Sp3c","Santos et al 2019","RS Sp3c","Ria Formosa","Saltmarsh",36.999,-7.879,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.476,11.73,NA,0.608,"https://doi.org/10.1038/s41598-018-37031-6"
"12","Sp3d","Santos et al 2019","RS Sp3d","Ria Formosa","Saltmarsh",36.999,-7.879,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.634,10.01,NA,0.621,"https://doi.org/10.1038/s41598-018-37031-6"
"13","Sp4a","Santos et al 2019","RS Sp4a","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.552,10.51,NA,0.65,"https://doi.org/10.1038/s41598-018-37031-6"
"14","Sp4b","Santos et al 2019","RS Sp4b","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.55,10.19,NA,0.678,"https://doi.org/10.1038/s41598-018-37031-6"
"15","Sp4c","Santos et al 2019","RS Sp4c","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.396,10.43,NA,0.628,"https://doi.org/10.1038/s41598-018-37031-6"
"16","Sp4d","Santos et al 2019","RS Sp4d","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2014,0,0.05,"EA",2.771,10.67,NA,0.628,"https://doi.org/10.1038/s41598-018-37031-6"
"17","Sm1_5","de los Santos et al 2022 (a)","CBdlS Sm1_5","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.38,7.885,"OC = -0.066 + 0.3102*OM",0.501,"https://doi.org/10.1016/j.ecss.2022.107896"
"18","Sm1_10","de los Santos et al 2022 (a)","CBdlS Sm1_10","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",0.486,1.779,"OC = -0.066 + 0.3102*OM",0.935,"https://doi.org/10.1016/j.ecss.2022.107896"
"19","Sm2_5","de los Santos et al 2022 (a)","CBdlS Sm2_5","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.173,7.219,"OC = -0.066 + 0.3102*OM",0.703,"https://doi.org/10.1016/j.ecss.2022.107896"
"20","Sm2_10","de los Santos et al 2022 (a)","CBdlS Sm2_10","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.09,6.951,"OC = -0.066 + 0.3102*OM",0.695,"https://doi.org/10.1016/j.ecss.2022.107896"
"21","Sm2_12","de los Santos et al 2022 (a)","CBdlS Sm2_12","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.318,4.463,"OC = -0.066 + 0.3102*OM",0.733,"https://doi.org/10.1016/j.ecss.2022.107896"
"22","Sm3_5","de los Santos et al 2022 (a)","CBdlS Sm3_5","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.91,6.369,"OC = -0.066 + 0.3102*OM",0.787,"https://doi.org/10.1016/j.ecss.2022.107896"
"23","Sm3_10","de los Santos et al 2022 (a)","CBdlS Sm3_10","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.164,7.189,"OC = -0.066 + 0.3102*OM",0.584,"https://doi.org/10.1016/j.ecss.2022.107896"
"24","Sm3_15","de los Santos et al 2022 (a)","CBdlS Sm3_15","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.99,6.628,"OC = -0.066 + 0.3102*OM",0.636,"https://doi.org/10.1016/j.ecss.2022.107896"
"25","Sm3_20","de los Santos et al 2022 (a)","CBdlS Sm3_20","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.934,6.449,"OC = -0.066 + 0.3102*OM",0.53,"https://doi.org/10.1016/j.ecss.2022.107896"
"26","Sm3_25","de los Santos et al 2022 (a)","CBdlS Sm3_25","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.929,6.432,"OC = -0.066 + 0.3102*OM",0.724,"https://doi.org/10.1016/j.ecss.2022.107896"
"27","Sm4_8","de los Santos et al 2022 (a)","CBdlS Sm4_8","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.907,6.36,"OC = -0.066 + 0.3102*OM",0.714,"https://doi.org/10.1016/j.ecss.2022.107896"
"28","Sm4_12","de los Santos et al 2022 (a)","CBdlS Sm4_12","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.106,7.003,"OC = -0.066 + 0.3102*OM",0.772,"https://doi.org/10.1016/j.ecss.2022.107896"
"29","Sm4_15","de los Santos et al 2022 (a)","CBdlS Sm4_15","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.161,7.178,"OC = -0.066 + 0.3102*OM",0.635,"https://doi.org/10.1016/j.ecss.2022.107896"
"30","Sm1_5","de los Santos et al 2022 (a)","CBdlS Sm1_5","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.504,5.062,"OC = -0.066 + 0.3102*OM",0.71,"https://doi.org/10.1016/j.ecss.2022.107896"
"31","Sm1_10","de los Santos et al 2022 (a)","CBdlS Sm1_10","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",0.899,3.109,"OC = -0.066 + 0.3102*OM",0.868,"https://doi.org/10.1016/j.ecss.2022.107896"
"32","Sm2_5","de los Santos et al 2022 (a)","CBdlS Sm2_5","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.815,6.064,"OC = -0.066 + 0.3102*OM",0.636,"https://doi.org/10.1016/j.ecss.2022.107896"
"33","Sm2_10","de los Santos et al 2022 (a)","CBdlS Sm2_10","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.153,7.152,"OC = -0.066 + 0.3102*OM",0.672,"https://doi.org/10.1016/j.ecss.2022.107896"
"34","Sm2_12","de los Santos et al 2022 (a)","CBdlS Sm2_12","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.121,7.05,"OC = -0.066 + 0.3102*OM",0.772,"https://doi.org/10.1016/j.ecss.2022.107896"
"35","Sm3_5","de los Santos et al 2022 (a)","CBdlS Sm3_5","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.882,6.28,"OC = -0.066 + 0.3102*OM",0.569,"https://doi.org/10.1016/j.ecss.2022.107896"
"36","Sm3_10","de los Santos et al 2022 (a)","CBdlS Sm3_10","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.112,7.021,"OC = -0.066 + 0.3102*OM",0.65,"https://doi.org/10.1016/j.ecss.2022.107896"
"37","Sm3_15","de los Santos et al 2022 (a)","CBdlS Sm3_15","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.13,7.08,"OC = -0.066 + 0.3102*OM",0.54,"https://doi.org/10.1016/j.ecss.2022.107896"
"38","Sm3_20","de los Santos et al 2022 (a)","CBdlS Sm3_20","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.003,6.671,"OC = -0.066 + 0.3102*OM",0.634,"https://doi.org/10.1016/j.ecss.2022.107896"
"39","Sm3_25","de los Santos et al 2022 (a)","CBdlS Sm3_25","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.192,7.279,"OC = -0.066 + 0.3102*OM",0.518,"https://doi.org/10.1016/j.ecss.2022.107896"
"40","Sm4_8","de los Santos et al 2022 (a)","CBdlS Sm4_8","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.979,6.593,"OC = -0.066 + 0.3102*OM",0.773,"https://doi.org/10.1016/j.ecss.2022.107896"
"41","Sm4_12","de los Santos et al 2022 (a)","CBdlS Sm4_12","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.347,7.779,"OC = -0.066 + 0.3102*OM",0.661,"https://doi.org/10.1016/j.ecss.2022.107896"
"42","Sm4_15","de los Santos et al 2022 (a)","CBdlS Sm4_15","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.124,7.059,"OC = -0.066 + 0.3102*OM",0.668,"https://doi.org/10.1016/j.ecss.2022.107896"
"43","Sm1_5","de los Santos et al 2022 (a)","CBdlS Sm1_5","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.03,6.757,"OC = -0.066 + 0.3102*OM",0.522,"https://doi.org/10.1016/j.ecss.2022.107896"
"44","Sm1_10","de los Santos et al 2022 (a)","CBdlS Sm1_10","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",0.509,1.853,"OC = -0.066 + 0.3102*OM",1.293,"https://doi.org/10.1016/j.ecss.2022.107896"
"45","Sm2_5","de los Santos et al 2022 (a)","CBdlS Sm2_5","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.498,5.042,"OC = -0.066 + 0.3102*OM",0.822,"https://doi.org/10.1016/j.ecss.2022.107896"
"46","Sm2_10","de los Santos et al 2022 (a)","CBdlS Sm2_10","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.168,7.201,"OC = -0.066 + 0.3102*OM",0.49,"https://doi.org/10.1016/j.ecss.2022.107896"
"47","Sm2_12","de los Santos et al 2022 (a)","CBdlS Sm2_12","Ria Formosa","Saltmarsh",37.002,-7.882,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.877,6.264,"OC = -0.066 + 0.3102*OM",0.754,"https://doi.org/10.1016/j.ecss.2022.107896"
"48","Sm3_5","de los Santos et al 2022 (a)","CBdlS Sm3_5","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.027,6.748,"OC = -0.066 + 0.3102*OM",0.668,"https://doi.org/10.1016/j.ecss.2022.107896"
"49","Sm3_10","de los Santos et al 2022 (a)","CBdlS Sm3_10","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.276,7.551,"OC = -0.066 + 0.3102*OM",0.486,"https://doi.org/10.1016/j.ecss.2022.107896"
"50","Sm3_15","de los Santos et al 2022 (a)","CBdlS Sm3_15","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.346,7.776,"OC = -0.066 + 0.3102*OM",0.466,"https://doi.org/10.1016/j.ecss.2022.107896"
"51","Sm3_20","de los Santos et al 2022 (a)","CBdlS Sm3_20","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.253,7.474,"OC = -0.066 + 0.3102*OM",0.517,"https://doi.org/10.1016/j.ecss.2022.107896"
"52","Sm3_25","de los Santos et al 2022 (a)","CBdlS Sm3_25","Ria Formosa","Saltmarsh",36.988,-7.875,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.148,7.136,"OC = -0.066 + 0.3102*OM",0.673,"https://doi.org/10.1016/j.ecss.2022.107896"
"53","Sm4_8","de los Santos et al 2022 (a)","CBdlS Sm4_8","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",1.928,6.428,"OC = -0.066 + 0.3102*OM",0.759,"https://doi.org/10.1016/j.ecss.2022.107896"
"54","Sm4_12","de los Santos et al 2022 (a)","CBdlS Sm4_12","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.264,7.51,"OC = -0.066 + 0.3102*OM",0.636,"https://doi.org/10.1016/j.ecss.2022.107896"
"55","Sm4_15","de los Santos et al 2022 (a)","CBdlS Sm4_15","Ria Formosa","Saltmarsh",37.002,-7.881,"direct from dataset",1,"Portugal",2017,0,0.05,"LOI",2.217,7.361,"OC = -0.066 + 0.3102*OM",0.681,"https://doi.org/10.1016/j.ecss.2022.107896"
"56","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0,0.02,"EA",3.349,8.489,"",0.431,"https://doi.org/10.1007/s10021-021-00660-6"
"57","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.02,0.05,"LOI",1.6441326,5.513,"OC = -0.066 + 0.3102*OM",0.658,"https://doi.org/10.1007/s10021-021-00660-6"
"58","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.05,0.07,"EA",4.216,10.334,"",0.41,"https://doi.org/10.1007/s10021-021-00660-6"
"59","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.07,0.1,"LOI",2.3563518,7.809,"OC = -0.066 + 0.3102*OM",0.45,"https://doi.org/10.1007/s10021-021-00660-6"
"60","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.1,0.12,"EA",2.855,11.905,"",0.403,"https://doi.org/10.1007/s10021-021-00660-6"
"61","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.12,0.15,"LOI",0.7426914,2.607,"OC = -0.066 + 0.3102*OM",0.785,"https://doi.org/10.1007/s10021-021-00660-6"
"62","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.15,0.17,"EA",0.361,1.425,"",0.966,"https://doi.org/10.1007/s10021-021-00660-6"
"63","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.17,0.19,"LOI",0.3245418,1.259,"OC = -0.066 + 0.3102*OM",0.833,"https://doi.org/10.1007/s10021-021-00660-6"
"64","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.19,0.22,"EA",0.283,1.274,"",1.141,"https://doi.org/10.1007/s10021-021-00660-6"
"65","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.22,0.24,"LOI",0.103059,0.545,"OC = -0.066 + 0.3102*OM",1.16,"https://doi.org/10.1007/s10021-021-00660-6"
"66","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.24,0.27,"EA",0.204,0.857,"",1.167,"https://doi.org/10.1007/s10021-021-00660-6"
"67","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.27,0.29,"LOI",NA,0.18,"OC = -0.066 + 0.3102*OM",1.145,"https://doi.org/10.1007/s10021-021-00660-6"
"68","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.29,0.32,"EA",0.137,0.754,"",1.134,"https://doi.org/10.1007/s10021-021-00660-6"
"69","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.32,0.34,"LOI",0.1129854,0.577,"OC = -0.066 + 0.3102*OM",1.127,"https://doi.org/10.1007/s10021-021-00660-6"
"70","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.34,0.36,"EA",0.114,0.674,"",1.082,"https://doi.org/10.1007/s10021-021-00660-6"
"71","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.36,0.39,"LOI",0.0118602,0.251,"OC = -0.066 + 0.3102*OM",1.117,"https://doi.org/10.1007/s10021-021-00660-6"
"72","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.39,0.41,"EA",0.065,0.555,"",1.059,"https://doi.org/10.1007/s10021-021-00660-6"
"73","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.41,0.44,"LOI",0.0475332,0.366,"OC = -0.066 + 0.3102*OM",1.114,"https://doi.org/10.1007/s10021-021-00660-6"
"74","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.44,0.46,"EA",0.091,0.698,"",1.145,"https://doi.org/10.1007/s10021-021-00660-6"
"75","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.46,0.48,"LOI",0.00875819999999999,0.241,"OC = -0.066 + 0.3102*OM",1.136,"https://doi.org/10.1007/s10021-021-00660-6"
"76","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.48,0.51,"EA",0.028,0.297,"",1.175,"https://doi.org/10.1007/s10021-021-00660-6"
"77","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.51,0.53,"LOI",0.0357456,0.328,"OC = -0.066 + 0.3102*OM",1.131,"https://doi.org/10.1007/s10021-021-00660-6"
"78","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.53,0.56,"EA",0.039,0.384,"",1.028,"https://doi.org/10.1007/s10021-021-00660-6"
"79","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.56,0.58,"LOI",0.0245784,0.292,"OC = -0.066 + 0.3102*OM",1.038,"https://doi.org/10.1007/s10021-021-00660-6"
"80","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.58,0.61,"EA",0.019,0.352,"",1.2,"https://doi.org/10.1007/s10021-021-00660-6"
"81","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.61,0.63,"LOI",0.00627659999999999,0.233,"OC = -0.066 + 0.3102*OM",1.079,"https://doi.org/10.1007/s10021-021-00660-6"
"82","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.63,0.65,"LOI",0.00162359999999999,0.218,"OC = -0.066 + 0.3102*OM",1.224,"https://doi.org/10.1007/s10021-021-00660-6"
"83","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.65,0.68,"LOI",0.014652,0.26,"OC = -0.066 + 0.3102*OM",1.02,"https://doi.org/10.1007/s10021-021-00660-6"
"84","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.68,0.7,"LOI",0.0199254,0.277,"OC = -0.066 + 0.3102*OM",1.125,"https://doi.org/10.1007/s10021-021-00660-6"
"85","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.7,0.73,"EA",0.027,0.551,"",1.098,"https://doi.org/10.1007/s10021-021-00660-6"
"86","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.73,0.75,"LOI",0.0174438,0.269,"OC = -0.066 + 0.3102*OM",1.08,"https://doi.org/10.1007/s10021-021-00660-6"
"87","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.75,0.78,"LOI",0.00937859999999999,0.243,"OC = -0.066 + 0.3102*OM",0.803,"https://doi.org/10.1007/s10021-021-00660-6"
"88","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.78,0.8,"LOI",NA,0.187,"OC = -0.066 + 0.3102*OM",1.199,"https://doi.org/10.1007/s10021-021-00660-6"
"89","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.8,0.82,"LOI",NA,0.16,"OC = -0.066 + 0.3102*OM",1.058,"https://doi.org/10.1007/s10021-021-00660-6"
"90","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.82,0.85,"EA",0.028,0.378,"",1.16,"https://doi.org/10.1007/s10021-021-00660-6"
