"","Core","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","Conv_factor","BD_reported_g_cm3","DOI"
"91","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.85,0.87,"LOI",NA,0.146,"OC = -0.066 + 0.3102*OM",1.088,"https://doi.org/10.1007/s10021-021-00660-6"
"92","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.87,0.9,"LOI",0.0509454,0.377,"OC = -0.066 + 0.3102*OM",1.104,"https://doi.org/10.1007/s10021-021-00660-6"
"93","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.9,0.92,"LOI",0.3416028,1.314,"OC = -0.066 + 0.3102*OM",1.03,"https://doi.org/10.1007/s10021-021-00660-6"
"94","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.92,0.95,"LOI",0.157344,0.72,"OC = -0.066 + 0.3102*OM",1.125,"https://doi.org/10.1007/s10021-021-00660-6"
"95","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.95,0.97,"LOI",0.0739002,0.451,"OC = -0.066 + 0.3102*OM",1.151,"https://doi.org/10.1007/s10021-021-00660-6"
"96","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.97,0.99,"EA",0.173,0.417,"",1.22,"https://doi.org/10.1007/s10021-021-00660-6"
"97","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,0.99,1.02,"LOI",0.059631,0.405,"OC = -0.066 + 0.3102*OM",1.179,"https://doi.org/10.1007/s10021-021-00660-6"
"98","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.02,1.04,"LOI",0.0618024,0.412,"OC = -0.066 + 0.3102*OM",1.152,"https://doi.org/10.1007/s10021-021-00660-6"
"99","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.04,1.07,"EA",0.189,0.956,"",1.173,"https://doi.org/10.1007/s10021-021-00660-6"
"100","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.07,1.09,"LOI",0.0155826,0.263,"OC = -0.066 + 0.3102*OM",1.093,"https://doi.org/10.1007/s10021-021-00660-6"
"101","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.09,1.12,"LOI",0.1440054,0.677,"OC = -0.066 + 0.3102*OM",1.248,"https://doi.org/10.1007/s10021-021-00660-6"
"102","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.12,1.14,"LOI",0.1409034,0.667,"OC = -0.066 + 0.3102*OM",1.155,"https://doi.org/10.1007/s10021-021-00660-6"
"103","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.14,1.16,"EA",0.43,1.294,"",1.163,"https://doi.org/10.1007/s10021-021-00660-6"
"104","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.16,1.19,"LOI",0.199221,0.855,"OC = -0.066 + 0.3102*OM",1.128,"https://doi.org/10.1007/s10021-021-00660-6"
"105","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.19,1.21,"LOI",0.1802988,0.794,"OC = -0.066 + 0.3102*OM",1.086,"https://doi.org/10.1007/s10021-021-00660-6"
"106","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.21,1.24,"LOI",0.2060454,0.877,"OC = -0.066 + 0.3102*OM",1.067,"https://doi.org/10.1007/s10021-021-00660-6"
"107","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.24,1.26,"LOI",0.3099624,1.212,"OC = -0.066 + 0.3102*OM",1.133,"https://doi.org/10.1007/s10021-021-00660-6"
"108","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.26,1.28,"LOI",0.2469918,1.009,"OC = -0.066 + 0.3102*OM",1.143,"https://doi.org/10.1007/s10021-021-00660-6"
"109","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.28,1.31,"EA",0.432,1.489,"",1.203,"https://doi.org/10.1007/s10021-021-00660-6"
"110","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.31,1.33,"LOI",0.1964292,0.846,"OC = -0.066 + 0.3102*OM",1.098,"https://doi.org/10.1007/s10021-021-00660-6"
"111","SM1","Martins et al 2022","MM SM1","Ria Formosa","Saltmarsh",36.984,-7.889,"direct from dataset",1,"Portugal",2017,1.33,1.36,"LOI",0.4926702,1.801,"OC = -0.066 + 0.3102*OM",1.031,"https://doi.org/10.1007/s10021-021-00660-6"
"112","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0,0.03,"EA",3.698,11.392,"",0.355,"https://doi.org/10.1007/s10021-021-00660-6"
"113","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.03,0.05,"LOI",1.2917454,4.377,"OC = -0.066 + 0.3102*OM",0.666,"https://doi.org/10.1007/s10021-021-00660-6"
"114","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.05,0.08,"EA",3.207,9.619,"",0.35,"https://doi.org/10.1007/s10021-021-00660-6"
"115","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.08,0.1,"LOI",2.5874508,8.554,"OC = -0.066 + 0.3102*OM",0.493,"https://doi.org/10.1007/s10021-021-00660-6"
"116","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.1,0.13,"EA",1.285,4.012,"",0.674,"https://doi.org/10.1007/s10021-021-00660-6"
"117","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.13,0.15,"LOI",0.1142262,0.581,"OC = -0.066 + 0.3102*OM",0.998,"https://doi.org/10.1007/s10021-021-00660-6"
"118","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.15,0.18,"EA",0.187,0.833,"",1.036,"https://doi.org/10.1007/s10021-021-00660-6"
"119","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.18,0.2,"LOI",0.0776226,0.463,"OC = -0.066 + 0.3102*OM",0.989,"https://doi.org/10.1007/s10021-021-00660-6"
"120","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.2,0.23,"EA",0.069,0.547,"",0.997,"https://doi.org/10.1007/s10021-021-00660-6"
"121","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.23,0.25,"LOI",0.0506352,0.376,"OC = -0.066 + 0.3102*OM",1.076,"https://doi.org/10.1007/s10021-021-00660-6"
"122","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.25,0.28,"EA",0.128,0.667,"",1.135,"https://doi.org/10.1007/s10021-021-00660-6"
"123","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.28,0.3,"LOI",0.0202356,0.278,"OC = -0.066 + 0.3102*OM",1.165,"https://doi.org/10.1007/s10021-021-00660-6"
"124","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.3,0.33,"EA",0.089,0.48,"",1.177,"https://doi.org/10.1007/s10021-021-00660-6"
"125","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.33,0.36,"LOI",NA,0.191,"OC = -0.066 + 0.3102*OM",1.071,"https://doi.org/10.1007/s10021-021-00660-6"
"126","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.36,0.38,"EA",0.049,0.429,"",1.051,"https://doi.org/10.1007/s10021-021-00660-6"
"127","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.38,0.41,"LOI",NA,0.142,"OC = -0.066 + 0.3102*OM",1.077,"https://doi.org/10.1007/s10021-021-00660-6"
"128","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.41,0.43,"EA",0.029,0.361,"",1.077,"https://doi.org/10.1007/s10021-021-00660-6"
"129","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.43,0.46,"LOI",NA,0.131,"OC = -0.066 + 0.3102*OM",1.014,"https://doi.org/10.1007/s10021-021-00660-6"
"130","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.46,0.48,"EA",0.048,0.307,"",1.027,"https://doi.org/10.1007/s10021-021-00660-6"
"131","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.48,0.51,"LOI",NA,0.171,"OC = -0.066 + 0.3102*OM",1.097,"https://doi.org/10.1007/s10021-021-00660-6"
"132","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.51,0.53,"EA",0.039,0.354,"",1.05,"https://doi.org/10.1007/s10021-021-00660-6"
"133","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.53,0.56,"LOI",NA,0.139,"OC = -0.066 + 0.3102*OM",0.94,"https://doi.org/10.1007/s10021-021-00660-6"
"134","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.56,0.58,"EA",0.019,0.276,"",1.073,"https://doi.org/10.1007/s10021-021-00660-6"
"135","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.58,0.61,"LOI",NA,0.037,"OC = -0.066 + 0.3102*OM",1.041,"https://doi.org/10.1007/s10021-021-00660-6"
"136","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.61,0.64,"EA",0.049,0.308,"",1.02,"https://doi.org/10.1007/s10021-021-00660-6"
"137","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.64,0.66,"LOI",0.1005774,0.537,"OC = -0.066 + 0.3102*OM",1.073,"https://doi.org/10.1007/s10021-021-00660-6"
"138","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.66,0.69,"LOI",0.7768134,2.717,"OC = -0.066 + 0.3102*OM",0.913,"https://doi.org/10.1007/s10021-021-00660-6"
"139","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.69,0.71,"EA",0.553,1.396,"",1.229,"https://doi.org/10.1007/s10021-021-00660-6"
"140","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.71,0.74,"LOI",0.6384642,2.271,"OC = -0.066 + 0.3102*OM",0.93,"https://doi.org/10.1007/s10021-021-00660-6"
"141","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.74,0.76,"LOI",0.4300098,1.599,"OC = -0.066 + 0.3102*OM",0.962,"https://doi.org/10.1007/s10021-021-00660-6"
"142","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.76,0.79,"LOI",0.56991,2.05,"OC = -0.066 + 0.3102*OM",0.916,"https://doi.org/10.1007/s10021-021-00660-6"
"143","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.79,0.81,"LOI",0.8329596,2.898,"OC = -0.066 + 0.3102*OM",0.778,"https://doi.org/10.1007/s10021-021-00660-6"
"144","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.81,0.84,"LOI",0.9129912,3.156,"OC = -0.066 + 0.3102*OM",0.823,"https://doi.org/10.1007/s10021-021-00660-6"
"145","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.84,0.86,"LOI",1.142229,3.895,"OC = -0.066 + 0.3102*OM",0.792,"https://doi.org/10.1007/s10021-021-00660-6"
"146","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.86,0.89,"LOI",1.041414,3.57,"OC = -0.066 + 0.3102*OM",0.817,"https://doi.org/10.1007/s10021-021-00660-6"
"147","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.89,0.91,"EA",2.408,4.742,"",0.822,"https://doi.org/10.1007/s10021-021-00660-6"
"148","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.91,0.94,"LOI",1.641651,5.505,"OC = -0.066 + 0.3102*OM",0.702,"https://doi.org/10.1007/s10021-021-00660-6"
"149","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.94,0.97,"LOI",0.766887,2.685,"OC = -0.066 + 0.3102*OM",0.894,"https://doi.org/10.1007/s10021-021-00660-6"
"150","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.97,0.99,"LOI",1.8637542,6.221,"OC = -0.066 + 0.3102*OM",0.676,"https://doi.org/10.1007/s10021-021-00660-6"
"151","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,0.99,1.02,"LOI",1.7170296,5.748,"OC = -0.066 + 0.3102*OM",0.705,"https://doi.org/10.1007/s10021-021-00660-6"
"152","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,1.02,1.04,"LOI",1.7582862,5.881,"OC = -0.066 + 0.3102*OM",0.763,"https://doi.org/10.1007/s10021-021-00660-6"
"153","SM2","Martins et al 2022","MM SM2","Ria Formosa","Saltmarsh",36.988,-7.876,"direct from dataset",1,"Portugal",2017,1.04,1.07,"EA",3.004,7.342,"",0.765,"https://doi.org/10.1007/s10021-021-00660-6"
"154","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0,0.03,"EA",2.532,8.007,"",0.485,"https://doi.org/10.1007/s10021-021-00660-6"
"155","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.03,0.06,"LOI",1.4626656,4.928,"OC = -0.066 + 0.3102*OM",0.535,"https://doi.org/10.1007/s10021-021-00660-6"
"156","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.06,0.09,"EA",2.043,6.697,"",0.492,"https://doi.org/10.1007/s10021-021-00660-6"
"157","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.09,0.11,"LOI",1.712997,5.735,"OC = -0.066 + 0.3102*OM",0.511,"https://doi.org/10.1007/s10021-021-00660-6"
"158","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.11,0.14,"EA",1.683,4.987,"",0.613,"https://doi.org/10.1007/s10021-021-00660-6"
"159","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.14,0.17,"LOI",1.8628236,6.218,"OC = -0.066 + 0.3102*OM",0.517,"https://doi.org/10.1007/s10021-021-00660-6"
"160","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.17,0.2,"EA",1.605,5.266,"",0.512,"https://doi.org/10.1007/s10021-021-00660-6"
"161","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.2,0.23,"LOI",1.0746054,3.677,"OC = -0.066 + 0.3102*OM",0.709,"https://doi.org/10.1007/s10021-021-00660-6"
"162","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.23,0.26,"EA",1.068,3.541,"",0.797,"https://doi.org/10.1007/s10021-021-00660-6"
"163","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.26,0.29,"LOI",0.8354412,2.906,"OC = -0.066 + 0.3102*OM",0.762,"https://doi.org/10.1007/s10021-021-00660-6"
"164","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.29,0.31,"EA",0.974,3.977,"",0.739,"https://doi.org/10.1007/s10021-021-00660-6"
"165","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.31,0.34,"LOI",1.0783278,3.689,"OC = -0.066 + 0.3102*OM",0.698,"https://doi.org/10.1007/s10021-021-00660-6"
"166","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.34,0.37,"EA",1.401,4.204,"",0.694,"https://doi.org/10.1007/s10021-021-00660-6"
"167","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.37,0.4,"LOI",1.1316822,3.861,"OC = -0.066 + 0.3102*OM",0.758,"https://doi.org/10.1007/s10021-021-00660-6"
"168","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.4,0.43,"EA",1.356,4.542,"",0.694,"https://doi.org/10.1007/s10021-021-00660-6"
"169","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.43,0.46,"LOI",2.0889594,6.947,"OC = -0.066 + 0.3102*OM",0.543,"https://doi.org/10.1007/s10021-021-00660-6"
"170","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.46,0.49,"EA",2.196,5.861,"",0.561,"https://doi.org/10.1007/s10021-021-00660-6"
"171","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.49,0.51,"LOI",1.7561148,5.874,"OC = -0.066 + 0.3102*OM",0.566,"https://doi.org/10.1007/s10021-021-00660-6"
"172","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.51,0.54,"EA",1.745,7.061,"",0.545,"https://doi.org/10.1007/s10021-021-00660-6"
"173","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.54,0.57,"LOI",1.4685594,4.947,"OC = -0.066 + 0.3102*OM",0.499,"https://doi.org/10.1007/s10021-021-00660-6"
"174","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.57,0.6,"EA",1.728,6.163,"",0.629,"https://doi.org/10.1007/s10021-021-00660-6"
"175","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.6,0.63,"LOI",1.2005466,4.083,"OC = -0.066 + 0.3102*OM",0.806,"https://doi.org/10.1007/s10021-021-00660-6"
"176","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.63,0.66,"EA",1.661,5.677,"",0.775,"https://doi.org/10.1007/s10021-021-00660-6"
"177","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.66,0.69,"LOI",1.450878,4.89,"OC = -0.066 + 0.3102*OM",0.651,"https://doi.org/10.1007/s10021-021-00660-6"
"178","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.69,0.71,"EA",1.689,5.585,"",0.671,"https://doi.org/10.1007/s10021-021-00660-6"
"179","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.71,0.74,"LOI",1.5073344,5.072,"OC = -0.066 + 0.3102*OM",0.688,"https://doi.org/10.1007/s10021-021-00660-6"
"180","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.74,0.77,"LOI",0.81807,2.85,"OC = -0.066 + 0.3102*OM",0.65,"https://doi.org/10.1007/s10021-021-00660-6"
"181","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.77,0.8,"LOI",0.939048,3.24,"OC = -0.066 + 0.3102*OM",0.822,"https://doi.org/10.1007/s10021-021-00660-6"
"182","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.8,0.83,"LOI",1.056924,3.62,"OC = -0.066 + 0.3102*OM",0.763,"https://doi.org/10.1007/s10021-021-00660-6"
"183","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.83,0.86,"LOI",0.9914718,3.409,"OC = -0.066 + 0.3102*OM",0.756,"https://doi.org/10.1007/s10021-021-00660-6"
"184","SM3","Martins et al 2022","MM SM3","Ria Formosa","Saltmarsh",36.997,-7.88,"direct from dataset",1,"Portugal",2017,0.86,0.89,"LOI",0.9427704,3.252,"OC = -0.066 + 0.3102*OM",0.865,"https://doi.org/10.1007/s10021-021-00660-6"
