study_id,site_id,transect_id,plot_id,core_id,year,month,day,latitude,longitude,position_method,section_n,max_depth,habitat,site_description,ecotype,protection_status,protection_notes,ecosystem_health,pH,salinity,ORP,inundation_notes,tree_count,dominant_species,plot_sediment_carbon,plot_sediment_carbon_1m,plot_biomass_carbon,total_ecosystem_carbon,total_ecosystem_carbon_1m
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,2021,9,2,17.691465,-88.11592,handheld,1,94,mangrove,"15 m from shore, mixed Rhizophora and Avicennia, trees ~ <15ft, no barnacles, brittle brances, healthy leaves",Caye,National Legislation,NA,healthy,6.56,57,-148,falling (plots 1-4) to low tide (plots 5-6),49,Rhizophora mangle,410.4681429,410.4681429,111.371424,521.8395669,521.8395669
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,2021,9,2,17.691475,-88.116119,handheld,3,224,mangrove,"Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves",Caye,National Legislation,NA,healthy,7.05,37,-210,falling (plots 1-4) to low tide (plots 5-6),30,Avicennia germinans,714.6878045,279.0445801,64.2485,778.9363045,343.2930801
Morrissette_et_al_2023,Hicks Caye,1,3,Hicks Caye_1_3_mangrove,2021,9,2,17.691509,-88.116355,handheld,1,97,mangrove,"standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress",Caye,National Legislation,NA,healthy,6.65,35,-327,falling (plots 1-4) to low tide (plots 5-6),36,Rhizophora mangle,453.0933975,453.0933975,96.90056971,549.9939672,549.9939672
Morrissette_et_al_2023,Hicks Caye,1,4,Hicks Caye_1_4_mangrove,2021,9,2,17.691458,-88.116596,handheld,1,93,mangrove,"average 5-10ft trees, open canopy, mostly Avicennia, leaves being eaten, oxygen stress, standing water 3-6in., sparse trees at >15ft, stand of dwarf mangrove, some anoxia (black on root)",Caye,National Legislation,NA,healthy,7.29,35,-32,falling (plots 1-4) to low tide (plots 5-6),17,Rhizophora mangle,385.0759749,385.0759749,55.68653733,440.7625122,440.7625122
Morrissette_et_al_2023,Hicks Caye,1,5,Hicks Caye_1_5_mangrove,2021,9,2,17.691358,-88.116795,handheld,1,94,mangrove,"trees mostly Avicennia, leaves being eaten, open canopy, dwarf stand, standing water 3 in, mostly 5-10ft trees, sparse above 15 m, oxygen stress",Caye,National Legislation,NA,healthy,6.75,35,-309,falling (plots 1-4) to low tide (plots 5-6),16,Rhizophora mangle,360.2081984,360.2081984,23.18127615,383.3894746,383.3894746
Morrissette_et_al_2023,Hicks Caye,1,6,Hicks Caye_1_6_mangrove,2021,9,2,17.691317,-88.117022,handheld,2,124,mangrove,"mostly Avicennia, leaves being eaten, open canopy, standing water 3 in, mostly 6-15 ft",Caye,National Legislation,NA,healthy,7.28,33,-32,falling (plots 1-4) to low tide (plots 5-6),15,Rhizophora mangle,442.9391719,349.3060496,16.9311676,459.8703395,366.2372172
Morrissette_et_al_2023,Drowned Caye,1,1,Drowned Caye_1_1_mangrove,2021,9,3,17.489636,-88.06327,handheld,2,171,mangrove,"trees ~30 ft, mostly Rhizophora, not very dense, open canopy, high water table, oxygen stress, brittle branches, healthy leaves",Caye,National Legislation,NA,healthy,6.46,37,-377,falling (plots 1-5) to low tide (plot 6),35,Rhizophora mangle,517.0458947,248.5501853,79.07193759,596.1178323,327.6221229
Morrissette_et_al_2023,Drowned Caye,1,2,Drowned Caye_1_2_mangrove,2021,9,3,17.489653,-88.063488,handheld,2,173,mangrove,"30-35ft trees, more open canopy, mixed Rh and Av, insect eaten leaves (but green), oxygen stress, standing water, lots of saplings",Caye,National Legislation,NA,healthy,6.4,32,-271,falling (plots 1-5) to low tide (plot 6),18,Rhizophora mangle,531.4320432,257.7503301,49.22093834,580.6529815,306.9712685
Morrissette_et_al_2023,Drowned Caye,1,3,Drowned Caye_1_3_mangrove,2021,9,3,17.489699,-88.063664,handheld,2,195,mangrove,"tall trees above ~40 ft, mix of Rh and Av with a few La, high standing water 4-6in, healthier leaves, oxygen stress",Caye,National Legislation,NA,healthy,6.43,32,-241,falling (plots 1-5) to low tide (plot 6),19,Rhizophora mangle,658.535835,411.8022652,67.11245396,725.648289,478.9147191
Morrissette_et_al_2023,Drowned Caye,1,4,Drowned Caye_1_4_mangrove,2021,9,3,17.489674,-88.063867,handheld,2,190,mangrove,"tall trees above ~40 ft, mostly Av with a few La, high standing water 4-6in, healthier leaves, oxygen stress",Caye,National Legislation,NA,healthy,6.66,24,-270,falling (plots 1-5) to low tide (plot 6),15,Rhizophora mangle,673.5040539,412.7786669,51.65233713,725.156391,464.431004
Morrissette_et_al_2023,Drowned Caye,1,5,Drowned Caye_1_5_mangrove,2021,9,3,17.489761,-88.06411,handheld,2,189.5,mangrove,"mix of Rh, Av, La, up to >40 ft tall, lots of saplings, high standing water 2-4 in, healthier leaves",Caye,National Legislation,NA,healthy,6.49,24,-212,falling (plots 1-5) to low tide (plot 6),37,Rhizophora mangle,779.9967293,517.8841161,72.86226604,852.8589954,590.7463821
Morrissette_et_al_2023,Drowned Caye,1,6,Drowned Caye_1_6_mangrove,2021,9,3,17.489805,-88.064345,handheld,2,136.5,mangrove,"mix of Rh, Av, La, up to >40 ft tall, lots of saplings, high standing water 2-4 in, healthier leaves",Caye,National Legislation,NA,healthy,6.29,27,-264,falling (plots 1-5) to low tide (plot 6),18,Rhizophora mangle,541.2486665,361.5267094,46.80166046,588.0503269,408.3283698
Morrissette_et_al_2023,Drowned Caye,2,1,Drowned Caye_2_1_mangrove,2021,9,3,17.491791,-88.062677,handheld,3,185,mangrove,"Mainly Rh, soft sediment, tall trees 25ft, buggy, mostly mineral but organic rich surface, wet but not flooded",Caye,National Legislation,NA,healthy,7.05,37,14,falling (plots 1-5) to low tide (plot 6),35,Rhizophora mangle,496.9867599,393.4156753,105.7517684,602.7385282,499.1674437
Morrissette_et_al_2023,Drowned Caye,2,2,Drowned Caye_2_2_mangrove,2021,9,3,17.491817,-88.062985,handheld,3,180,mangrove,"mostly Rh, standing water 5 in, deep water color with lighter brown soft sediment",Caye,National Legislation,NA,healthy,7.33,NA,30,falling (plots 1-5) to low tide (plot 6),53,Rhizophora mangle,600.1791951,295.7927672,139.8036756,739.9828707,435.5964428
Morrissette_et_al_2023,Drowned Caye,2,3,Drowned Caye_2_3_mangrove,2021,9,3,17.491855,-88.063197,handheld,3,187,mangrove,"mostly La, standing water 5 in",Caye,National Legislation,NA,healthy,6.76,30,-150,falling (plots 1-5) to low tide (plot 6),39,Rhizophora mangle,430.0500577,270.4608691,111.3101253,541.3601831,381.7709944
Morrissette_et_al_2023,Drowned Caye,2,4,Drowned Caye_2_4_mangrove,2021,9,3,17.491839,-88.063451,handheld,2,140,mangrove,"Rh, tall trees > 35 ft",Caye,National Legislation,NA,healthy,7,25,-155,falling (plots 1-5) to low tide (plot 6),30,Rhizophora mangle,500.3409507,379.1229251,104.9876333,605.328584,484.1105584
Morrissette_et_al_2023,Drowned Caye,2,5,Drowned Caye_2_5_mangrove,2021,9,3,17.491837,-88.063657,handheld,3,181,mangrove,"tall La 25-30 ft, sediment has a little fungi, standing water 2 in, light brown water",Caye,National Legislation,NA,healthy,6.55,29,-101,falling (plots 1-5) to low tide (plot 6),43,Rhizophora mangle,544.6379717,346.834788,113.5092376,658.1472094,460.3440256
Morrissette_et_al_2023,Drowned Caye,2,6,Drowned Caye_2_6_mangrove,2021,9,3,17.49182,-88.063859,handheld,3,177,mangrove,"Av, surface water 3 in, 25 ft tall trees",Caye,National Legislation,NA,healthy,6.78,27,-145,falling (plots 1-5) to low tide (plot 6),38,Rhizophora mangle,816.3431204,556.8222146,95.16111974,911.5042401,651.9833344
Morrissette_et_al_2023,Shipstern Lagoon,1,1,Shipstern Lagoon_1_1_mangrove,2021,9,6,18.325519,-88.118299,handheld,2,101,mangrove,"dwarf mangrove about 2m, sandy soil, mostly Rh but occasional La, some bottom wood and no surface water",Lagoon,National Legislation,NA,healthy,7.03,25,-49,falling tide (plots 1-6),16,Laguncularia racemosa,177.2826926,114.083982,22.21919638,199.501889,136.3031783
Morrissette_et_al_2023,Shipstern Lagoon,1,2,Shipstern Lagoon_1_2_mangrove,2021,9,6,18.325277,-88.118274,handheld,2,110,mangrove,"all red mangrove, low canopy, 3 in of water",Lagoon,National Legislation,NA,healthy,7.26,25,-125,falling tide (plots 1-6),34,Rhizophora mangle,206.5444664,184.8350459,16.65597796,223.2004444,201.4910239
Morrissette_et_al_2023,Shipstern Lagoon,1,3,Shipstern Lagoon_1_3_mangrove,2021,9,6,18.325055,-88.118284,handheld,1,65,mangrove,"red mangrove, dwarf, 5 in standing water light in color",Lagoon,National Legislation,NA,healthy,6.7,25,-160,falling tide (plots 1-6),38,Rhizophora mangle,8.543402163,5.80194828,23.44502048,31.98842264,29.24696876
Morrissette_et_al_2023,Shipstern Lagoon,1,4,Shipstern Lagoon_1_4_mangrove,2021,9,6,18.324835,-88.118279,handheld,1,41,mangrove,"dwarf red mangrove, 6 in standing water (murky), sank 6 cores and were all short",Lagoon,National Legislation,NA,healthy,7.7,25,-155,falling tide (plots 1-6),34,Rhizophora mangle,66.83740604,52.05992446,9.403159498,76.24056554,61.46308396
Morrissette_et_al_2023,Shipstern Lagoon,1,5,Shipstern Lagoon_1_5_mangrove,2021,9,6,18.324621,-88.118217,handheld,2,129,mangrove,"patchy dwarf red mangrove, 6 in standing water",Lagoon,National Legislation,NA,healthy,7.53,25,-110,falling tide (plots 1-6),24,Rhizophora mangle,191.1620135,28.25707074,7.284153242,198.4461668,35.54122398
Morrissette_et_al_2023,Shipstern Lagoon,1,6,Shipstern Lagoon_1_6_mangrove,2021,9,6,18.324404,-88.118227,handheld,2,125,mangrove,"dwarf patchy red mangrove, 6 in standing water",Lagoon,National Legislation,NA,healthy,7.94,NA,-123,falling tide (plots 1-6),16,Rhizophora mangle,131.4822102,26.40920246,2.564126274,134.0463365,28.97332873
Morrissette_et_al_2023,Shipstern Lagoon,2,1,Shipstern Lagoon_2_1_mangrove,2021,9,6,18.339157,-88.106667,handheld,1,60,mangrove,"high tide, dwarf red & black mid, ankle deep water, algae on surface of sediments around 3-4mm",Lagoon,National Legislation,NA,healthy,7.36,25,-81,falling tide (plots 1-6),52,Avicennia germinans,21.45931507,16.25432263,21.0994354,42.55875046,37.35375803
Morrissette_et_al_2023,Shipstern Lagoon,2,2,Shipstern Lagoon_2_2_mangrove,2021,9,6,18.339243,-88.106869,handheld,1,58,mangrove,"denser red mangrove, lots of saplings, ankle deep water",Lagoon,National Legislation,NA,healthy,7.94,20,23,falling tide (plots 1-6),71,Rhizophora mangle,113.7750741,103.0592666,72.69871608,186.4737902,175.7579827
Morrissette_et_al_2023,Shipstern Lagoon,2,3,Shipstern Lagoon_2_3_mangrove,2021,9,6,18.339325,-88.107092,handheld,1,52,mangrove,"mix of red and black, less dense area (sparse), ankle deep water",Lagoon,National Legislation,NA,healthy,7.67,20,-22,falling tide (plots 1-6),8,Avicennia germinans,57.53490851,47.99558463,5.732714215,63.26762272,53.72829885
Morrissette_et_al_2023,Shipstern Lagoon,2,4,Shipstern Lagoon_2_4_mangrove,2021,9,6,18.339418,-88.107297,handheld,1,68,mangrove,"sparse red and black mangrove, ankle deep water, algae on surface sediments",Lagoon,National Legislation,NA,healthy,8.14,25,19,falling tide (plots 1-6),17,Rhizophora mangle,44.42118248,34.64157125,10.21249392,54.63367639,44.85406517
Morrissette_et_al_2023,Shipstern Lagoon,2,5,Shipstern Lagoon_2_5_mangrove,2021,9,6,18.339505,-88.107522,handheld,1,45,mangrove,"sparse red and black mangrove, ankle deep water, lots of curved roots on red (hurricane?)",Lagoon,National Legislation,NA,healthy,8.3,23,-10,falling tide (plots 1-6),49,Avicennia germinans,37.14029469,28.54746425,9.56804667,46.70834136,38.11551092
Morrissette_et_al_2023,Shipstern Lagoon,2,6,Shipstern Lagoon_2_6_mangrove,2021,9,6,18.339577,-88.107774,handheld,1,47,mangrove,"very sparse mangrove, red (60%) and black (40%) mix",Lagoon,National Legislation,NA,healthy,8.19,23,-63,falling tide (plots 1-6),14,Avicennia germinans,48.78607846,39.00303691,7.337491305,56.12356976,46.34052822
Morrissette_et_al_2023,New River,1,1,New River_1_1_mangrove,2021,9,7,18.341585,-88.38512,handheld,4,224,mangrove,"forest mix of palms/marsh shrubs/mangroves, muddy with small pockests of water",Riverine,National Legislation,NA,disturbed,7.2,8,-222,high (plot 1) to falling tide (plots 2-6),4,Rhizophora mangle,638.2624003,99.49767285,16.39747963,654.6598799,115.8951525
Morrissette_et_al_2023,New River,1,2,New River_1_2_mangrove,2021,9,7,18.341424,-88.384933,handheld,4,232,mangrove,"sparse red mangrove, bromeliad and shrubs, standing water 6 in",Riverine,National Legislation,NA,disturbed,7.18,11,-224,high (plot 1) to falling tide (plots 2-6),1,Rhizophora mangle,938.022128,172.7734705,0.33027604,938.3524041,173.1037465
Morrissette_et_al_2023,New River,1,3,New River_1_3_mangrove,2021,9,7,18.341285,-88.384764,handheld,3,156,mangrove,"elevated, mostly palms and coconuts, no mangroves",Riverine,National Legislation,NA,disturbed,7.21,12,-156,high (plot 1) to falling tide (plots 2-6),0,Rhizophora mangle,245.8653103,103.9724719,0,245.8653103,103.9724719
Morrissette_et_al_2023,New River,1,4,New River_1_4_mangrove,2021,9,7,18.341197,-88.384567,handheld,1,58,mangrove,"open canopy, mostly palm, no standing water, lots of palm leaves on the ground",Riverine,National Legislation,NA,disturbed,7.2,15,-9,high (plot 1) to falling tide (plots 2-6),0,Rhizophora mangle,62.64816624,62.64816624,0,62.64816624,62.64816624
Morrissette_et_al_2023,New River,1,5,New River_1_5_mangrove,2021,9,7,18.340982,-88.384435,handheld,4,278,mangrove,"mix mangroves white and red, giant roots, lots of vines, open canopy, dense understory",Riverine,National Legislation,NA,disturbed,6.9,15,-120,high (plot 1) to falling tide (plots 2-6),9,Rhizophora mangle,779.142706,328.3495514,39.95836056,819.1010666,368.307912
Morrissette_et_al_2023,New River,1,6,New River_1_6_mangrove,2021,9,7,18.340789,-88.384322,handheld,3,178,mangrove,"mix red and white mangroves, dense understory, lots of roots, lots of vines, open canopy, trees a bit short but still tall, pockets of standing water 3 in",Riverine,National Legislation,NA,disturbed,7.78,15,-169,high (plot 1) to falling tide (plots 2-6),10,Rhizophora mangle,609.1769247,523.2417992,26.61558424,635.7925089,549.8573834
Morrissette_et_al_2023,New River,2,1,New River_2_1_mangrove,2021,9,7,18.337675,-88.392519,handheld,3,272,mangrove,"15m from water's edge, large red mangroves at riverside ~25m height, thick understory, 6 in standing water, thick leaf litter",Riverine,National Legislation,NA,disturbed,8.02,5,-75,high (plot 1) to falling tide (plots 2-6),9,Rhizophora mangle,1243.893288,461.4623209,79.68582168,1323.57911,541.1481426
Morrissette_et_al_2023,New River,2,2,New River_2_2_mangrove,2021,9,7,18.341508,-88.387317,handheld,3,255,mangrove,"moved down river 20-30 m to find more mangroves, 75 cm core = rich peat",Riverine,National Legislation,NA,disturbed,6.89,3,-219,high (plot 1) to falling tide (plots 2-6),11,Rhizophora mangle,1057.939447,460.9797037,222.1096527,1280.0491,683.0893563
Morrissette_et_al_2023,New River,2,3,New River_2_3_mangrove,2021,9,7,18.34228,-88.385284,handheld,2,150,mangrove,"15m from edge, huge red mangroves, water over 50% dense red mangrove root, 10cm standing water",Riverine,National Legislation,NA,disturbed,7.33,3,38,high (plot 1) to falling tide (plots 2-6),13,Rhizophora mangle,573.1606145,392.0104306,371.2857515,944.446366,763.2961821
Morrissette_et_al_2023,Gra Gra Lagoon,1,1,Gra Gra Lagoon_1_1_mangrove,2021,9,9,16.936095,-88.244356,handheld,3,194,mangrove,"sparse canopy of black mangrove, low to medium stature, number of dead or dying trees, standing water approx 6 in, water is warm",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.86,35,-120,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),46,Avicennia germinans,401.8541838,193.2253293,101.9920722,503.846256,295.2174015
Morrissette_et_al_2023,Gra Gra Lagoon,1,2,Gra Gra Lagoon_1_2_mangrove,2021,9,9,16.936059,-88.244569,handheld,2,133,mangrove,"sparse mostly dead black mangrove, some with 25% leaf coverage, sediments covered with algae ~3mm",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.76,33,-136.6,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),39,Avicennia germinans,245.1610362,167.8541025,65.71729421,310.8783304,233.5713967
Morrissette_et_al_2023,Gra Gra Lagoon,1,3,Gra Gra Lagoon_1_3_mangrove,2021,9,9,16.935988,-88.244787,handheld,3,185,mangrove,"sparse mangrove, healthier than previous site, mostly living tree 50% leaf cover, soil firm under foot, algae covering 3mm",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.39,30,-177,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),38,Avicennia germinans,525.6626182,247.8192375,55.86852928,581.5311475,303.6877667
Morrissette_et_al_2023,Gra Gra Lagoon,1,4,Gra Gra Lagoon_1_4_mangrove,2021,9,9,16.935951,-88.245024,handheld,3,193,mangrove,"emerging from area of mostly dead trees, semi sparse, healthy looking mangroves, 20-25ft tall, firm under foot, water depth 3in, lots of saplings",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.53,34,-100,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),53,Avicennia germinans,410.4189281,246.8578154,120.5015424,530.9204706,367.3593579
Morrissette_et_al_2023,Gra Gra Lagoon,1,5,Gra Gra Lagoon_1_5_mangrove,2021,9,9,16.935931,-88.245217,handheld,3,210,mangrove,"in the edge of degraded mangrove stand (healthy to the right degraded to the left), black mangrove 20-25ft tall, most 10ft, on degraded side the dead were ~15ft tall",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.53,34,-136,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),58,Avicennia germinans,530.4190797,380.3354459,92.37011601,622.7891957,472.7055619
Morrissette_et_al_2023,Gra Gra Lagoon,1,6,Gra Gra Lagoon_1_6_mangrove,2021,9,9,16.935956,-88.245422,handheld,3,238,mangrove,"degraded black mangroves on the right, just beyond the plot, healthy in plot. Mix of red and black 30-45ft tall, no signs of stress",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.31,35,-71,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),47,Avicennia germinans,594.2380596,304.1728641,76.61714956,670.8552091,380.7900137
Morrissette_et_al_2023,Gra Gra Lagoon,2,1,Gra Gra Lagoon_2_1_mangrove,2021,9,9,16.938988,-88.242735,handheld,3,215,mangrove,"** transect was every 20m instead of 25** dwarf mangroves, very dense, standing water to 6in depth",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.9,33,73,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),26,Rhizophora mangle,1155.69013,629.1142549,48.27951019,1203.969641,677.3937651
Morrissette_et_al_2023,Gra Gra Lagoon,2,2,Gra Gra Lagoon_2_2_mangrove,2021,9,9,16.93908,-88.242891,handheld,1,69,mangrove,"dense dwarf mangroves, 6in standing water",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.92,34,83,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),38,Rhizophora mangle,297.2817785,297.2817785,30.91590356,328.197682,328.197682
Morrissette_et_al_2023,Gra Gra Lagoon,2,3,Gra Gra Lagoon_2_3_mangrove,2021,9,9,16.939103,-88.243067,handheld,3,207,mangrove,"dense dwarf mangroves, 6in standing water, large dead trees",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.95,30,92,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),30,Rhizophora mangle,1073.631187,629.466484,39.79233608,1113.423523,669.2588201
Morrissette_et_al_2023,Gra Gra Lagoon,2,4,Gra Gra Lagoon_2_4_mangrove,2021,9,9,16.939055,-88.243254,handheld,1,49,mangrove,"shorter mangroves, 6 in standing water",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.49,30,90,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),31,Rhizophora mangle,259.2509579,259.2509579,64.381193,323.6321509,323.6321509
Morrissette_et_al_2023,Gra Gra Lagoon,2,5,Gra Gra Lagoon_2_5_mangrove,2021,9,9,16.939034,-88.243414,handheld,2,144.5,mangrove,"dense dwarf mangroves 1.5m, 6in standing water, some dead wood",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.6,32,65,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),26,Rhizophora mangle,937.7163539,712.5115389,41.16016585,978.8765197,753.6717048
Morrissette_et_al_2023,Gra Gra Lagoon,2,6,Gra Gra Lagoon_2_6_mangrove,2021,9,9,16.939019,-88.243595,handheld,2,113,mangrove,"2-3m tall red mangroves, not as dense as last plot (bird)",Lagoon,Protected,Gra Gra Lagoon National Park,degraded,7.35,31,72,rising (plots 1-2) to high (plot 3) to falling tide (plots 4-6),22,Rhizophora mangle,814.401722,742.0118688,23.73289529,838.1346173,765.7447641
Morrissette_et_al_2023,Channel Caye,1,1,Channel Caye_1_1_mangrove,2021,9,10,16.643723,-88.164621,handheld,3,174,mangrove,"*All of both transects were full of trash* just beyond red mangroves into a huge mature ancient tree 15m tall, low lying non-mangrove vegetation",Caye,Protected,South Water Caye Marine Reserve,disturbed,7.93,35,11,rising (plots 1-3) to high (plot 4) to falling tide (plots 5-6),27,Avicennia germinans,878.5478676,574.9539348,302.4687957,1181.016663,877.4227305
Morrissette_et_al_2023,Channel Caye,1,2,Channel Caye_1_2_mangrove,2021,9,10,16.643679,-88.164457,handheld,2,136,mangrove,"white mangrove, above 10 in water, microplastic, chopped trees with chainsaw",Caye,Protected,South Water Caye Marine Reserve,disturbed,7.39,35,23,rising (plots 1-3) to high (plot 4) to falling tide (plots 5-6),29,Avicennia germinans,821.5240556,645.1962651,148.0191597,969.5432153,793.2154248
Morrissette_et_al_2023,Channel Caye,1,3,Channel Caye_1_3_mangrove,2021,9,10,16.643613,-88.164178,handheld,2,140,mangrove,"white mangroves, undergrowth, water 6in deep, lots of microplastics",Caye,Protected,South Water Caye Marine Reserve,disturbed,7.21,28,-13,rising (plots 1-3) to high (plot 4) to falling tide (plots 5-6),49,Avicennia germinans,1018.726974,773.3607006,222.7122395,1241.439213,996.07294
Morrissette_et_al_2023,Channel Caye,1,4,Channel Caye_1_4_mangrove,2021,9,10,16.643556,-88.164014,handheld,2,140,mangrove,"white mangroves 15m tall, some chopped wood, vegetation at the soil, water 6 in, soil firm",Caye,Protected,South Water Caye Marine Reserve,disturbed,7.14,28,57,rising (plots 1-3) to high (plot 4) to falling tide (plots 5-6),67,Avicennia germinans,686.5102527,567.1369562,229.6746474,916.1849001,796.8116036
Morrissette_et_al_2023,Channel Caye,1,5,Channel Caye_1_5_mangrove,2021,9,10,16.643416,-88.163693,handheld,2,145,mangrove,"white mangrove dwarf, soil vegetation, lots of trash, standing water 7 in",Caye,Protected,South Water Caye Marine Reserve,disturbed,7.72,27,-62,rising (plots 1-3) to high (plot 4) to falling tide (plots 5-6),35,Avicennia germinans,824.9454619,599.4934701,162.779756,987.7252179,762.2732261
